"Title","‘Very low’ levels of anxiety, by ethnicity over time"
"Location","UK"
"Time period","2012 to 2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"","2012","2013","2014","2015","2016","2017"
"","","","","","",""
"All","38.1","39.2","40.5","41.0","40.3","40.2"
"Bangladeshi","35.2","40.2","42.6","39.1","39.4","37.3"
"Chinese","32.9","32.7","35.0","38.8","38.3","34.4"
"Indian","34.3","34.8","37.8","38.2","38.9","36.8"
"Pakistani","36.1","38.6","39.0","41.4","36.7","42.7"
"Asian other","34.9","35.3","39.4","37.5","39.2","40.8"
"Black","35.4","38.1","41.0","42.0","40.8","38.6"
"Mixed other","32.2","42.1","34.2","32.3","35.0","36.6"
"White","38.5","39.5","40.7","41.2","40.5","40.5"
"Other","30.2","33.6","37.6","39.2","39.1","36.6"
"Arab","34.7","28.5","30.3","30.5","33.8","32.8"
"White Gypsy/Traveller","?","?","?","?","?","?"
