"Title","Driving licence holders by ethnicity"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","National Travel Survey https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","All","National Travel Survey broad ethnicity classification","71"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","58"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","51"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","54"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","Other","National Travel Survey broad ethnicity classification","54"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","White","National Travel Survey broad ethnicity classification","73"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","All","National Travel Survey broad ethnicity classification","71"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","57"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","51"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","54"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","Other","National Travel Survey broad ethnicity classification","54"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","White","National Travel Survey broad ethnicity classification","73"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","All","National Travel Survey broad ethnicity classification","72"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","57"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","51"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","53"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","Other","National Travel Survey broad ethnicity classification","53"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","White","National Travel Survey broad ethnicity classification","74"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","All","National Travel Survey broad ethnicity classification","72"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","58"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","51"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","55"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","Other","National Travel Survey broad ethnicity classification","51"
"Proportion of people with full car driving licence","2005/09","5-year rolling average","White","National Travel Survey broad ethnicity classification","74"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","All","National Travel Survey broad ethnicity classification","72"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","58"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","50"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","57"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","Other","National Travel Survey broad ethnicity classification","54"
"Proportion of people with full car driving licence","2006/10","5-year rolling average","White","National Travel Survey broad ethnicity classification","74"
"Proportion of people with full car driving licence","2007/11","5-year rolling average","All","National Travel Survey broad ethnicity classification","73"
"Proportion of people with full car driving licence","2007/11","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","58"
"Proportion of people with full car driving licence","2007/11","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","49"
