"Title","School teacher workforce by ethnicity and type of school"
"Location","England"
"Time period","2016"
"Data source","School workforce in England: November 2016"
"Data source link","https://www.gov.uk/government/statistics/school-workforce-in-england-november-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"School","Ethnicity","%","Teachers"
"Nursery and Primary","Asian","",""
"Nursery and Primary","Bangladeshi","0.4","1,100"
"Nursery and Primary","Indian","1.6","3,800"
"Nursery and Primary","Pakistani","0.9","2,200"
"Nursery and Primary","Asian other","0.5","1,100"
"Nursery and Primary","Black","",""
"Nursery and Primary","Black African","0.4","1,000"
"Nursery and Primary","Black Caribbean","0.9","2,000"
"Nursery and Primary","Black other","0.2","500"
"Nursery and Primary","Mixed","",""
"Nursery and Primary","Mixed White/Asian","0.3","700"
"Nursery and Primary","Mixed White/Black African","0.1","200"
"Nursery and Primary","Mixed White/Black Caribbean","0.3","700"
"Nursery and Primary","Mixed other","0.4","1,000"
"Nursery and Primary","White","",""
"Nursery and Primary","White British","89.1","210,800"
"Nursery and Primary","White Irish","1.4","3,300"
"Nursery and Primary","White other","3.0","7,000"
"Nursery and Primary","Chinese and other","",""
"Nursery and Primary","Chinese","0.1","200"
"Nursery and Primary","Any other","0.4","1,000"
"Secondary","Asian","",""
"Secondary","Bangladeshi","0.6","1,200"
"Secondary","Indian","2.2","4,500"
"Secondary","Pakistani","1.3","2,600"
"Secondary","Asian other","0.8","1,700"
"Secondary","Black","",""
"Secondary","Black African","1.2","2,500"
"Secondary","Black Caribbean","1.2","2,500"
"Secondary","Black other","0.4","900"
"Secondary","Mixed","",""
"Secondary","Mixed White/Asian","0.3","700"
"Secondary","Mixed White/Black African","0.1","300"
"Secondary","Mixed White/Black Caribbean","0.3","700"
"Secondary","Mixed other","0.5","1,100"
"Secondary","White","",""
"Secondary","White British","83.5","174,100"
"Secondary","White Irish","2.0","4,200"
"Secondary","White other","4.6","9,600"
"Secondary","Chinese and other","",""
"Secondary","Chinese","0.2","500"
"Secondary","Any other","0.7","1,400"
"Special","Asian","",""
"Special","Bangladeshi","0.1","!"
"Special","Indian","1.0","200"
"Special","Pakistani","0.4","100"
"Special","Asian other","0.4","100"
"Special","Black","",""
"Special","Black African","0.9","200"
"Special","Black Caribbean","1.4","300"
"Special","Black other","0.4","100"
"Special","Mixed","",""
"Special","Mixed White/Asian","0.3","100"
"Special","Mixed White/Black African","0.1","!"
"Special","Mixed White/Black Caribbean","0.5","100"
"Special","Mixed other","0.4","100"
"Special","White","",""
"Special","White British","87.0","19,800"
"Special","White Irish","1.4","300"
"Special","White other","5.1","1,200"
"Special","Chinese and other","",""
"Special","Chinese","0.1","!"
"Special","Any other","0.6","100"
"Centrally employed","Asian","",""
"Centrally employed","Bangladeshi","0.2","!"
"Centrally employed","Indian","0.8","!"
"Centrally employed","Pakistani","0.5","!"
"Centrally employed","Asian other","0.2","!"
"Centrally employed","Black","",""
"Centrally employed","Black African","0.2","!"
"Centrally employed","Black Caribbean","0.9","!"
"Centrally employed","Black other","0.2","!"
"Centrally employed","Mixed","",""
"Centrally employed","Mixed White/Asian","0.3","!"
"Centrally employed","Mixed White/Black African","0.1","!"
"Centrally employed","Mixed White/Black Caribbean","0.2","!"
"Centrally employed","Mixed other","0.3","!"
"Centrally employed","White","",""
"Centrally employed","White British","90.9","4,200"
"Centrally employed","White Irish","0.9","!"
"Centrally employed","White other","3.6","200"
"Centrally employed","Chinese and other","",""
"Centrally employed","Chinese","!","!"
"Centrally employed","Any other","0.8","!"
