"Title","Household income"
"Location","UK"
"Time period","2013/14 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Ethnicity","measure","value","time","time_type","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age_Bracket","Age_Bracket_Type"
"All","Percentage of households with incomes of Less than £100 a week ","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","Percentage of households with incomes of Less than £100 a week ","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","Percentage of households with incomes of Less than £100 a week ","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","Percentage of households with incomes of Less than £100 a week ","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Pakistani","Percentage of households with incomes of Less than £100 a week ","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Bangladeshi","Percentage of households with incomes of Less than £100 a week ","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Chinese","Percentage of households with incomes of Less than £100 a week ","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Asian other","Percentage of households with incomes of Less than £100 a week ","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Black","Percentage of households with incomes of Less than £100 a week ","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Other","Percentage of households with incomes of Less than £100 a week ","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"All","Percentage of households with incomes of £100 but less than £200","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"White","Percentage of households with incomes of £100 but less than £200","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Mixed","Percentage of households with incomes of £100 but less than £200","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
"Indian","Percentage of households with incomes of £100 but less than £200","4","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code","All","All","All","All"
