"Title","Writing attainments for children aged 7 to 11 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12 January 2017 (revised)"

"","Boys","","","Girls","",""
"Ethnicity","Expected standard","Higher standard","Progress score","Expected standard","Higher standard","Progress score"
"All","68","11","-0.8","81","19","0.8"
"Asian","72","12","0.5","83","20","1.8"
"Bangladeshi","75","12","1.3","85","22","2.6"
"Indian","77","17","0.4","87","27","1.7"
"Pakistani","67","8","0.1","79","14","1.5"
"Asian other","74","15","0.8","83","24","2.0"
"Black","69","10","0.5","82","18","1.9"
"Black African","72","12","0.9","83","19","2.2"
"Black Caribbean","63","7","-0.6","78","13","1.1"
"Black other","66","9","0.5","81","18","2.1"
"Chinese","79","21","0.8","89","37","2.7"
"Mixed","70","12","-0.5","83","21","1.2"
"Mixed White/Asian","75","16","-0.2","86","26","1.3"
"Mixed White/Black African","69","12","-0.5","83","19","1.6"
"Mixed White/Black Caribbean","64","8","-1.2","80","16","0.7"
"Mixed other","71","13","-0.3","83","22","1.4"
"White","67","11","-1.1","80","19","0.6"
"White British","68","11","-1.3","81","19","0.5"
"White Irish","72","15","-0.5","85","27","1.3"
"White Irish Traveller","25","!","-2.8","46","!","0.2"
"White Gypsy/Roma","22","!","-1.7","36","!","0.5"
"White other","62","10","0.9","73","17","2.6"
"Other","66","10","0.9","77","16","2.3"
"Unknown","55","8","-1.3","65","15","0.5"
