"Title","Writing attainment for children aged 10 to 11 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"","Boys","","","Girls","",""
"Ethnicity","Expected standard","Higher standard","Progress score","Expected standard","Higher standard","Progress score"
"All","70","13","-0.8","82","23","0.8"
"Asian","75","14","0.4","85","24","1.7"
"Bangladeshi","76","14","1.0","86","26","2.3"
"Indian","82","20","0.6","89","32","1.8"
"Pakistani","69","9","0.1","81","17","1.4"
"Asian other","77","18","0.6","85","28","1.7"
"Black","71","12","0.2","83","21","1.5"
"Black African","73","14","0.6","84","22","1.7"
"Black Caribbean","64","8","-1.0","80","16","0.7"
"Black other","69","10","-0.1","81","21","1.6"
"Chinese","80","27","1.2","90","40","2.6"
"Mixed","72","14","-0.6","84","25","1.1"
"Mixed White/Asian","77","19","-0.2","87","31","1.3"
"Mixed White/Black African","71","13","-0.6","83","23","1.2"
"Mixed White/Black Caribbean","65","9","-1.5","81","18","0.6"
"Mixed other","74","15","-0.2","85","26","1.5"
"White","70","13","-1.1","82","22","0.6"
"White British","70","13","-1.2","83","23","0.5"
"White Irish","74","18","-0.7","85","29","1.2"
"White Irish Traveller","27","!","-2.5","45","!","0.9"
"White Gypsy/Roma","24","1","-1.7","38","2","0.7"
"White other","65","12","0.9","76","20","2.4"
"Other","67","12","0.7","78","19","2.2"
