"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Southend-on-Sea","E06000033","79","%","1902"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Suffolk","E10000029","71","%","7482"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Cambridgeshire","E10000003","72","%","6340"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Thurrock","E06000034","76","%","2142"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Hertfordshire","E10000015","79","%","12706"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Central Bedfordshire","E06000056","77","%","3073"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Peterborough","E06000031","72","%","2494"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Norfolk","E10000020","77","%","8298"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Luton","E06000032","70","%","2947"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Essex","E10000012","76","%","15212"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East","Bedford","E06000055","68","%","1933"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Northamptonshire","E10000021","72","%","8420"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derbyshire","E10000007","75","%","8072"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derby","E06000015","72","%","2916"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottingham","E06000018","72","%","3106"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottinghamshire","E10000024","75","%","8410"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicestershire","E10000018","74","%","7158"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Lincolnshire","E10000019","73","%","7348"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Rutland","E06000017","74","%","375"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Leicester","E06000016","78","%","3968"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Kingston upon Thames","E09000021","72","%","1708"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Newham","E09000025","84","%","4396"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Hackney","E09000012","85","%","2429"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Barking and Dagenham","E09000002","80","%","3046"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Southwark","E09000028","80","%","3063"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Wandsworth","E09000032","79","%","2198"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Haringey","E09000014","82","%","2852"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Waltham Forest","E09000031","81","%","2989"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Westminster","E09000033","79","%","1420"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Hounslow","E09000018","80","%","2677"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","City of London","E09000001","!","%","28"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Hillingdon","E09000017","75","%","3471"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Bexley","E09000004","80","%","2972"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Sutton","E09000029","83","%","2005"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Harrow","E09000015","77","%","2668"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Tower Hamlets","E09000030","83","%","3008"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Redbridge","E09000026","78","%","3669"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Ealing","E09000009","74","%","3849"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Havering","E09000016","84","%","2857"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Brent","E09000005","74","%","3433"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Barnet","E09000003","73","%","3731"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Richmond upon Thames","E09000027","77","%","1988"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Bromley","E09000006","81","%","3402"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Greenwich","E09000011","83","%","2930"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Lewisham","E09000023","77","%","3185"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Camden","E09000007","76","%","1509"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Islington","E09000019","80","%","1761"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Croydon","E09000008","78","%","4160"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Hammersmith and Fulham","E09000013","78","%","1270"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Merton","E09000024","73","%","2013"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Lambeth","E09000022","81","%","2771"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Enfield","E09000010","77","%","4091"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Kensington and Chelsea","E09000020","84","%","913"
"Percentage of pupils reaching the key stage 2 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","Sunderland","E08000024","80","%","2977"
