"Title","Writing attainments for children aged 7 to 11 (key stage 2)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-05"
"Measure","Time","Time_type","Region","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominators"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","All","All","All","All/Boys/Girls","13","%","641,593"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","13","%","477,297"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","13","%","428,456"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","17","%","1,725"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","2","%","604"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","1","%","2,417"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","12","%","44,095"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","15","%","37,891"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","10","%","9,808"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","15","%","5,503"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","20","%","8,877"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","17","%","13,703"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","15","%","68,312"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","22","%","18,435"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","10","%","28,158"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","14","%","10,383"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","17","%","11,336"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","14","%","35,798"
"% of pupils reaching the higher standard in writing","2015 - 2016","Academic year","England","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","10","%","6,818"
