"Title","Writing attainments for children aged 10 to 11 (key stage 2)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-24"
"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","Value","Value_Type","Lower_CI","Upper_CI","Denominator"
"Key stage 2 progress in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","0","Numeric","0","0","N/A"
"Key stage 2 progress in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","-0.80000001","Numeric","-0.8","-0.8","N/A"
"Key stage 2 progress in writing","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","0.80000001","Numeric","0.8","0.9","N/A"
"Key stage 2 progress in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","1.1","Numeric","1.1","1.2","N/A"
"Key stage 2 progress in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","0.5","Numeric","0.4","0.5","N/A"
"Key stage 2 progress in writing","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","1.8","Numeric","1.7","1.9","N/A"
"Key stage 2 progress in writing","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","2","Numeric","1.8","2.1","N/A"
"Key stage 2 progress in writing","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","1.3","Numeric","1.1","1.5","N/A"
"Key stage 2 progress in writing","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","2.5999999","Numeric","2.5","2.8","N/A"
"Key stage 2 progress in writing","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","1","Numeric","0.9","1.1","N/A"
"Key stage 2 progress in writing","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","0.40000001","Numeric","0.3","0.5","N/A"
"Key stage 2 progress in writing","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","1.7","Numeric","1.5","1.8","N/A"
