"Ethnicity","Expected standard","Higher standard","Progress score"
"All","76","18","0.0"
"Asian","80","19","1.0"
"Bangladeshi","81","20","1.6"
"Indian","85","26","1.2"
"Pakistani","75","13","0.7"
"Asian other","81","23","1.1"
"Black","77","16","0.8"
"Black African","79","18","1.2"
"Black Caribbean","72","12","-0.2"
"Black other","75","15","0.7"
"Chinese","85","34","1.9"
"Mixed","78","19","0.2"
"Mixed White/Asian","82","25","0.5"
"Mixed White/Black African","77","18","0.4"
"Mixed White/Black Caribbean","73","14","-0.5"
"Mixed other","79","21","0.6"
"White","76","18","-0.3"
"White British","77","18","-0.4"
"White Irish","80","23","0.2"
"White Irish Traveller","36","2","-0.8"
"White Gypsy/Roma","31","2","-0.4"
"White other","70","16","1.6"
"Other","72","15","1.4"
