"Title","Children meeting the expected standard in reading at key stage 2 (ages 7 to 11) by ethnicity"
"Location","England"
"Time period","2015 to 2016"
"Data source","Key stage 2 Attainment and Progress Data https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% higher standard","Average scaled score","Progress score"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","All","ONS 18+1","All","All/Boys/Girls","66","19","103","0"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White","ONS 5+1","All","All/Boys/Girls","67","19","103","0"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - British","ONS 18+1","All","All/Boys/Girls","68","20","103","-0.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Irish","ONS 18+1","All","All/Boys/Girls","77","31","105","2.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","ONS 18+1","All","All/Boys/Girls","28","5","96","-1.8"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","ONS 18+1","All","All/Boys/Girls","21","2","94","-1.5"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Any other","ONS 18+1","All","All/Boys/Girls","57","16","101","1.3"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed","ONS 5+1","All","All/Boys/Girls","69","21","103","0.4"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","ONS 18+1","All","All/Boys/Girls","63","15","102","-0.3"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","ONS 18+1","All","All/Boys/Girls","67","18","103","0.5"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","ONS 18+1","All","All/Boys/Girls","74","27","104","0.8"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","ONS 18+1","All","All/Boys/Girls","70","23","104","0.8"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian","ONS 5+1","All","All/Boys/Girls","63","16","102","-0.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","ONS 18+1","All","All/Boys/Girls","71","22","104","0.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","ONS 18+1","All","All/Boys/Girls","56","11","100","-0.6"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","ONS 18+1","All","All/Boys/Girls","64","14","102","0.3"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","ONS 18+1","All","All/Boys/Girls","67","20","103","0.4"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black","ONS 5+1","All","All/Boys/Girls","62","13","102","0.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","ONS 18+1","All","All/Boys/Girls","58","10","101","-0.5"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - African","ONS 18+1","All","All/Boys/Girls","64","14","102","0.3"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","ONS 18+1","All","All/Boys/Girls","60","12","101","0.1"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Chinese","ONS 18+1/5+1","All","All/Boys/Girls","75","33","105","1.4"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","ONS 18+1","All","All/Boys/Girls","58","13","101","0.5"
"% of pupils reaching the higher standard in reading by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Unclassified","ONS 18+1","All","All/Boys/Girls","55","16","102","0.2"
