"Title","Civil Service workforce by ethnicity and grade"
"Location","UK"
"Time period","2016"
"Data source","Annual Civil Service Employment Survey"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Standard Ethnicity","Grade",""
"Asian","Administrative officers and assistants","6.5"
"Asian","Executive officer","6.8"
"Asian","Senior and higher executive officer","4.9"
"Asian","Grades 6 & 7","3.8"
"Asian","Senior Civil Service","3.4"
"Black","Administrative officers and assistants","3.3"
"Black","Executive officer","3.8"
"Black","Senior and higher executive officer","2.7"
"Black","Grades 6 & 7","1.6"
"Black","Senior Civil Service","1.3"
"Chinese","Administrative officers and assistants","0.2"
"Chinese","Executive officer","0.3"
"Chinese","Senior and higher executive officer","0.3"
"Chinese","Grades 6 & 7","0.3"
"Chinese","Senior Civil Service","0.3"
"Mixed","Administrative officers and assistants","1.2"
"Mixed","Executive officer","1.4"
"Mixed","Senior and higher executive officer","1.5"
"Mixed","Grades 6 & 7","1.7"
"Mixed","Senior Civil Service","1.3"
"White","Administrative officers and assistants","88.3"
"White","Executive officer","87.2"
"White","Senior and higher executive officer","90.1"
"White","Grades 6 & 7","91.8"
"White","Senior Civil Service","93.1"
"Other","Administrative officers and assistants","0.5"
"Other","Executive officer","0.5"
"Other","Senior and higher executive officer","0.5"
"Other","Grades 6 & 7","0.7"
"Other","Senior Civil Service","0.5"
