"Title","Jobseeker’s Allowance claimants sanctioned, by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","November 2012 to December 2016"
"Data source","Department for Work and Pensions administrative data"
"Data source link","https://www.gov.uk/government/collections/jobseekers-allowance-sanctions"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 August 2017"

"","White","","Other",""
"Month","%","Number of sanctions","%","Number of sanctions"
"Nov-12","4.8","54,718","5.9","14,336"
"Dec-12","3.8","42,704","4.7","11,313"
"Jan-13","4.6","55,098","6.0","14,405"
"Feb-13","3.9","47,780","5.1","12,456"
"Mar-13","4.3","51,042","5.4","13,143"
"Apr-13","5.1","58,544","5.9","14,177"
"May-13","5.4","60,642","6.1","14,536"
"Jun-13","5.1","54,018","5.6","13,090"
"Jul-13","6.3","66,359","6.9","15,966"
"Aug-13","6.0","61,302","6.4","14,680"
"Sep-13","6.2","60,025","6.7","14,768"
"Oct-13","7.4","68,423","8.3","17,277"
"Nov-13","6.1","54,841","6.8","13,558"
"Dec-13","4.8","42,146","5.3","10,357"
"Jan-14","5.8","53,223","6.5","12,676"
"Feb-14","5.1","47,397","5.9","11,560"
"Mar-14","5.3","46,702","6.0","11,402"
"Apr-14","4.9","40,871","5.8","10,704"
"May-14","4.9","38,725","5.4","9,693"
"Jun-14","5.3","39,425","6.0","10,284"
"Jul-14","5.3","38,296","6.1","10,470"
"Aug-14","4.7","32,081","5.4","9,039"
"Sep-14","4.9","31,969","5.4","8,654"
"Oct-14","4.5","28,695","5.0","7,719"
"Nov-14","4.3","26,264","4.8","7,007"
"Dec-14","3.7","21,681","3.9","5,538"
"Jan-15","4.0","24,780","4.3","6,125"
"Feb-15","3.8","23,669","4.1","5,966"
"Mar-15","4.1","24,210","4.4","6,286"
"Apr-15","3.3","18,942","3.4","4,700"
"May-15","3.0","16,043","3.0","4,013"
"Jun-15","3.3","17,198","3.4","4,450"
"Jul-15","3.0","15,308","3.1","4,063"
"Aug-15","2.7","13,372","2.9","3,821"
"Sep-15","2.6","12,675","2.8","3,639"
"Oct-15","2.7","12,861","2.9","3,608"
"Nov-15","2.6","11,721","2.8","3,294"
"Dec-15","2.2","9,918","2.5","2,879"
"Jan-16","2.1","9,974","2.4","2,894"
"Feb-16","2.2","10,434","2.3","2,851"
"Mar-16","2.3","10,475","2.4","2,859"
"Apr-16","2.2","9,408","2.2","2,653"
"May-16","2.0","8,577","2.1","2,446"
"Jun-16","2.0","7,941","2.2","2,477"
"Jul-16","1.7","6,735","1.8","1,961"
"Aug-16","1.7","6,564","1.8","1,965"
"Sep-16","1.6","5,966","1.7","1,783"
"Oct-16","1.5","5,458","1.7","1,706"
"Nov-16","1.8","6,197","2.0","1,960"
"Dec-16","1.5","5,323","1.7","1,668"
