"Title","Employment by sector"
"Time period","2004 to 2016"
"Location","United Kingdom"
"Source","Annual Population Survey"
"Department","Department for Business, Energy & Industrial Strategy"
"Last update","n/a"
"
"
Measure,Time,Time_type,Ethnicity,Ethnicity_type,Industry,Value,Value, Denominator , Numerator ,Conf,Note
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.0,," 28,156,000 "," 271,600 ",0.0,
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.4,," 28,156,000 "," 396,700 ",0.0,
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),13.2,," 28,156,000 "," 3,709,900 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),F:construction (SIC 2007),8.5,," 28,156,000 "," 2,386,900 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",19.3,," 28,156,000 "," 5,434,200 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),76.0,," 28,156,000 "," 21,390,900 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.6,," 28,156,000 "," 2,713,800 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.0,," 28,156,000 "," 3,953,300 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",27.7,," 28,156,000 "," 7,808,000 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.3,," 28,156,000 "," 1,481,600 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Black or Black British,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 491,700 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2004,Year,Black or Black British,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.5,," 491,700 "," 2,600 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Black or Black British,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),7.1,," 491,700 "," 35,100 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2004,Year,Black or Black British,ONS defined grouping (NOMIS),F:construction (SIC 2007),5,," 491,700 "," 24,500 ",1.4,
