"Title","Mathematics attainment for children aged 6 to 7 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"FSM","Ethnicity","%"
"FSM","All","60"
"FSM","Asian","67"
"FSM","Bangladeshi","69"
"FSM","Indian","73"
"FSM","Pakistani","64"
"FSM","Asian other","69"
"FSM","Black","67"
"FSM","Black African","69"
"FSM","Black Caribbean","60"
"FSM","Black other","65"
"FSM","Chinese","85"
"FSM","Mixed","63"
"FSM","Mixed White/Asian","64"
"FSM","Mixed White/Black African","67"
"FSM","Mixed White/Black Caribbean","61"
"FSM","Mixed other","64"
"FSM","White","58"
"FSM","White British","58"
"FSM","White Irish","45"
"FSM","White Irish Traveller","30"
"FSM","White Gypsy/Roma","29"
"FSM","White other","63"
"FSM","Other","65"
"Non-FSM","All","78"
"Non-FSM","Asian","79"
"Non-FSM","Bangladeshi","77"
"Non-FSM","Indian","85"
"Non-FSM","Pakistani","73"
"Non-FSM","Asian other","81"
"Non-FSM","Black","75"
"Non-FSM","Black African","77"
"Non-FSM","Black Caribbean","71"
"Non-FSM","Black other","72"
"Non-FSM","Chinese","91"
"Non-FSM","Mixed","79"
"Non-FSM","Mixed White/Asian","83"
"Non-FSM","Mixed White/Black African","78"
"Non-FSM","Mixed White/Black Caribbean","74"
"Non-FSM","Mixed other","80"
"Non-FSM","White","78"
"Non-FSM","White British","78"
"Non-FSM","White Irish","80"
"Non-FSM","White Irish Traveller","40"
"Non-FSM","White Gypsy/Roma","30"
"Non-FSM","White other","75"
"Non-FSM","Other","73"
