"Title","Mathematics attainment for children aged 6 to 7 by ethnicity,  gender, and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"Gender","Ethnicity","FSM","Non-FSM"
"Boys","All","59","77"
"Boys","Asian","67","77"
"Boys","Bangladeshi","68","75"
"Boys","Indian","73","84"
"Boys","Pakistani","64","71"
"Boys","Asian other","69","79"
"Boys","Black","64","73"
"Boys","Black African","66","75"
"Boys","Black Caribbean","55","69"
"Boys","Black other","63","70"
"Boys","Chinese","82","91"
"Boys","Mixed","61","78"
"Boys","Mixed White/Asian","60","82"
"Boys","Mixed White/Black African","64","76"
"Boys","Mixed White/Black Caribbean","59","73"
"Boys","Mixed other","61","78"
"Boys","White","56","77"
"Boys","White British","57","77"
"Boys","White Irish","45","79"
"Boys","White Irish Traveller","29","36"
"Boys","White Gypsy/Roma","26","30"
"Boys","White other","62","75"
"Boys","Other","67","73"
"Girls","All","61","79"
"Girls","Asian","67","80"
"Girls","Bangladeshi","71","79"
"Girls","Indian","72","87"
"Girls","Pakistani","64","75"
"Girls","Asian other","69","83"
"Girls","Black","70","77"
"Girls","Black African","72","79"
"Girls","Black Caribbean","65","74"
"Girls","Black other","66","74"
"Girls","Chinese","89","91"
"Girls","Mixed","66","81"
"Girls","Mixed White/Asian","67","84"
"Girls","Mixed White/Black African","70","80"
"Girls","Mixed White/Black Caribbean","63","75"
"Girls","Mixed other","67","82"
"Girls","White","59","79"
"Girls","White British","59","79"
"Girls","White Irish","45","80"
"Girls","White Irish Traveller","30","45"
"Girls","White Gypsy/Roma","33","30"
"Girls","White other","63","76"
"Girls","Other","64","74"
