"Title","Mathematics attainment for children aged 6 to 7 by ethnicity,  gender, and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"","Boys","","Girls",""
"Ethnicity","FSM","Non-FSM","FSM","Non-FSM"
"All","59","77","61","79"
"Asian","67","77","67","80"
"Bangladeshi","68","75","71","79"
"Indian","73","84","72","87"
"Pakistani","64","71","64","75"
"Asian other","69","79","69","83"
"Black","64","73","70","77"
"Black African","66","75","72","79"
"Black Caribbean","55","69","65","74"
"Black other","63","70","66","74"
"Chinese","82","91","89","91"
"Mixed","61","78","66","81"
"Mixed White/Asian","60","82","67","84"
"Mixed White/Black African","64","76","70","80"
"Mixed White/Black Caribbean","59","73","63","75"
"Mixed other","61","78","67","82"
"White","56","77","59","79"
"White British","57","77","59","79"
"White Irish","45","79","45","80"
"White Irish Traveller","29","36","30","45"
"White Gypsy/Roma","26","30","33","30"
"White other","62","75","63","76"
"Other","67","73","64","74"
