"Title","Mathematics attainments for children aged 5 to 7 (key stage 1)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19/12/16"
"Measure","Time","Time_type","Region","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominators"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","All","All","All","All/Boys/Girls","18","%","641,593"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","17","%","477,297"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - British","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","18","%","428,456"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Irish","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","20","%","1,725"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Traveller of Irish Heritage","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","2","%","604"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Gypsy/Roma","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","2","%","2,417"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","White - Any other","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","17","%","44,095"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","19","%","37,891"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black Caribbean","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","13","%","9,808"
"% of pupils reaching the higher standard in mathematics","2015 - 2016","Academic year","England","E92000001","Mixed - White and Black African","Ethnicites used by the National Pupil Database (19)","All","All/Boys/Girls","18","%","5,503"
