"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","FSM","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","73","%","641593"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","58","%","97397"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","75","%","544196"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","72","%","328249"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","56","%","50061"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","74","%","278188"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","74","%","313344"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","59","%","47336"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","76","%","266008"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","75","%","68312"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","65","%","8899"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","76","%","59413"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","73","%","34773"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","64","%","4477"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","75","%","30296"
"Percentage of pupils reaching the key stage 1 expected standard in Mathematics","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","76","%","33539"
