"Title","Renting from a private landlord"
"Time period","2014/15 and 2015/16 (combined)"
"Location","England"
"Source","English Housing Survey"
"Department","Department for Communities and Local Government"
"Last update","7th March 2017"
"
"
Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type,Age group,Age group type,NS-SEC group,Income band,Region,Value, Denominator , Numerator ,Sample size
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,White - British,ONS 18 + 1,England,England as a whole,All,All,All,All,All,15.9,18808000,2995000,22463
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,White - Irish,ONS 18 + 1,England,England as a whole,All,All,All,All,All,16.3,184000,30000,221
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,White - Gypsy or Irish Traveller,ONS 18 + 1,England,England as a whole,All,All,All,All,All,?, ? , ? ,?
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,White - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,55.1,1078000,594000,1088
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - White and Black Caribbean,ONS 18 + 1,England,England as a whole,All,All,All,All,All,36.4,99000,36000,110
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - White and Black African,ONS 18 + 1,England,England as a whole,All,All,All,All,All,41.3,80000,33000,97
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - White and Asian,ONS 18 + 1,England,England as a whole,All,All,All,All,All,13.6,66000,9000,68
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,31.3,32000,10000,44
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Asian/Asian British - Indian,ONS 18 + 1,England,England as a whole,All,All,All,All,All,24.8,504000,125000,497
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Asian/Asian British - Pakistani,ONS 18 + 1,England,England as a whole,All,All,All,All,All,25.8,333000,86000,359
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Asian/Asian British - Bangladeshi,ONS 18 + 1,England,England as a whole,All,All,All,All,All,19.4,98000,19000,135
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Asian/Asian British - Chinese,ONS 18 + 1,England,England as a whole,All,All,All,All,All,52.7,129000,68000,132
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Asian/Asian British - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,43.6,218000,95000,213
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Black African/Caribbean/Black British - African,ONS 18 + 1,England,England as a whole,All,All,All,All,All,31,368000,114000,477
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Black African/Caribbean/Black British - Caribbean,ONS 18 + 1,England,England as a whole,All,All,All,All,All,16.6,289000,48000,351
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Black African/Caribbean/Black British - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,18.4,38000,7000,44
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Other ethnic group - Arab,ONS 18 + 1,England,England as a whole,All,All,All,All,All,47.6,63000,30000,72
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,Other ethnic group - Any other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,44.1,227000,100000,236
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,White British,White British & other,England,England as a whole,All,All,"Higher managerial, administrative and professional occupations",All,All,13.6,7635539,1036824,8432
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,White British,White British & other,England,England as a whole,All,All,Intermediate occupations,All,All,16.2,3857408,624600,4576
% of households in England who privately rent their own home,2014-15 and 2015-16,Two years,White British,White British & other,England,England as a whole,All,All,Routine and manual occupations,All,All,17.8,6260530,1114270,8384
