"Title","Renting from a private landlord by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","7th March 2017"

"Ethnicity","%","Private renters","All households"
"Asian","","",""
"Bangladeshi","19","19,000","98,000"
"Chinese","53","68,000","129,000"
"Indian","25","125,000","504,000"
"Pakistani","26","86,000","333,000"
"Asian other","44","95,000","218,000"
"Black","","",""
"Black African","31","114,000","368,000"
"Black Caribbean","17","48,000","289,000"
"Black other","18","7,000","38,000"
"Mixed","","",""
"Mixed White/Asian","14","9,000","66,000"
"Mixed White/Black African","41","33,000","80,000"
"Mixed White/Black Caribbean","36","36,000","99,000"
"Mixed other","31","10,000","32,000"
"White","","",""
"White British","16","2,995,000","18,808,000"
"White Irish","16","30,000","184,000"
"White Gypsy/Traveller","?","?","?"
"White other","55","594,000","1,078,000"
"Other","","",""
"Arab","48","30,000","63,000"
"Any other","44","100,000","227,000"
