"Title","Households under-occupying their home by ethnicity and income"
"Location","England"
"Time period","2013/14, 2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","7th March 2017"

"Ethnicity","Weekly income","%","Under-occupying households","All households"
"White British","Up to £99","12"," 26,637 "," 219,652 "
"White British","£100 to £199","27"," 446,301 "," 1,658,642 "
"White British","£200 to £299","34"," 792,798 "," 2,330,425 "
"White British","£300 to £399","38"," 814,150 "," 2,167,669 "
"White British","£400 to £499","37"," 662,469 "," 1,769,992 "
"White British","£500 to £599","38"," 628,328 "," 1,640,197 "
"White British","£600 to £699","40"," 613,156 "," 1,540,292 "
"White British","£700 to £799","41"," 525,389 "," 1,283,624 "
"White British","£800 to £899","42"," 454,357 "," 1,076,614 "
"White British","£900 to £999","43"," 365,716 "," 854,316 "
"White British","£1000 and above","51"," 2,176,286 "," 4,284,737 "
"All other ethnic groups","Up to £99","10"," 6,057 "," 63,678 "
"All other ethnic groups","£100 to £199","19"," 61,740 "," 333,662 "
"All other ethnic groups","£200 to £299","21"," 84,410 "," 401,075 "
"All other ethnic groups","£300 to £399","17"," 79,896 "," 474,903 "
"All other ethnic groups","£400 to £499","16"," 69,911 "," 426,782 "
"All other ethnic groups","£500 to £599","13"," 44,352 "," 332,926 "
"All other ethnic groups","£600 to £699","19"," 55,519 "," 296,515 "
"All other ethnic groups","£700 to £799","22"," 56,320 "," 261,015 "
"All other ethnic groups","£800 to £899","19"," 39,636 "," 210,022 "
"All other ethnic groups","£900 to £999","21"," 36,527 "," 170,613 "
"All other ethnic groups","£1000 and above","30"," 242,799 "," 814,503 "
