"Title","Households under-occupying their home by ethnicity"
"Location","England"
"Time period","2013/14, 2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","7th March 2017"

"Ethnicity","%","Under-occupying households","All households"
"Asian","","",""
"Bangladeshi","13","14,046","108,241"
"Chinese","17","22,654","132,162"
"Indian","29","140,390","486,845"
"Pakistani","18","59,415","327,347"
"Asian other","16","34,988","213,555"
"Black","","",""
"Black African","11","40,049","360,219"
"Black Caribbean","22","63,030","285,256"
"Black other","27","9,175","33,438"
"Mixed","","",""
"Mixed White/Asian","42","26,641","64,126"
"Mixed White/Black African","12","9,084","75,210"
"Mixed White/Black Caribbean","15","15,083","98,107"
"Mixed other","21","9,246","43,212"
"White","","",""
"White British","40","7,506,473","18,827,771"
"White Irish","41","82,525","202,418"
"White Gypsy/Traveller","?","?","?"
"White other","18","193,299","1,052,401"
"Other","","",""
"Arab","12","7,603","64,164"
"Any other","21","48,308","233,069"
