"Title","Households under-occupying their home by ethnicity and area"
"Location","England"
"Time period","2013/14, 2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","7th March 2017"

"Ethnicity","Region","%","Under-occupying households","All households"
"White British","North East","36"," 386,464 "," 1,083,531 "
"White British","North West","38"," 1,046,505 "," 2,732,893 "
"White British","Yorkshire and The Humber","39"," 784,867 "," 2,014,231 "
"White British","East Midlands","41"," 700,232 "," 1,710,066 "
"White British","West Midlands","42"," 839,358 "," 1,982,713 "
"White British","East of England","42"," 918,946 "," 2,169,371 "
"White British","London","33"," 570,629 "," 1,723,591 "
"White British","South East","41"," 1,304,316 "," 3,193,654 "
"White British","South West","43"," 955,156 "," 2,217,722 "
"All other ethnic groups","North East","22"," 12,552 "," 57,729 "
"All other ethnic groups","North West","24"," 78,247 "," 321,434 "
"All other ethnic groups","Yorkshire and The Humber","20"," 44,906 "," 230,373 "
"All other ethnic groups","East Midlands","23"," 51,740 "," 227,931 "
"All other ethnic groups","West Midlands","25"," 85,621 "," 339,739 "
"All other ethnic groups","East of England","27"," 86,927 "," 321,024 "
"All other ethnic groups","London","16"," 267,655 "," 1,643,031 "
"All other ethnic groups","South East","24"," 115,898 "," 486,885 "
"All other ethnic groups","South West","21"," 33,623 "," 157,547 "
