"Title","Home ownership by ethnicity and area"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","region","%","Homeowners  ('000s)","All households ('000s)"
"White British","North East","62","671","1,086"
"White British","North West","66","1,812","2,748"
"White British","Yorkshire and the Humber","64","1,272","1,986"
"White British","East Midlands","70","1,194","1,695"
"White British","West Midlands","67","1,318","1,968"
"White British","East","70","1,532","2,197"
"White British","London","63","1,079","1,706"
"White British","South East","72","2,312","3,215"
"White British","South West","71","1,568","2,215"
"Other than White British","North East","44","27","61"
"Other than White British","North West","44","156","352"
"Other than White British","Yorkshire and the Humber","42","120","283"
"Other than White British","East Midlands","42","109","257"
"Other than White British","West Midlands","49","193","394"
"Other than White British","East","44","145","331"
"Other than White British","London","34","576","1,713"
"Other than White British","South East","43","223","516"
"Other than White British","South West","37","69","187"
