"","White British","","","Other than White British","",""
"","%","Homeowners  ('000s)","All households ('000s)","%","Homeowners  ('000s)","All households ('000s)"
"North East","62","671","1,086","44","27","61"
"North West","66","1,812","2,748","44","156","352"
"Yorkshire and the Humber","64","1,272","1,986","42","120","283"
"East Midlands","70","1,194","1,695","42","109","257"
"West Midlands","67","1,318","1,968","49","193","394"
"East","70","1,532","2,197","44","145","331"
"London","63","1,079","1,706","34","576","1,713"
"South East","72","2,312","3,215","43","223","516"
"South West","71","1,568","2,215","37","69","187"
