"Ethnicity","%","Homeowners ('000s)","All households ('000s)"
"Asian","","",""
"Bangladeshi","40","54","135"
"Chinese","38","42","110"
"Indian","68","357","524"
"Pakistani","58","208","361"
"Asian other","37","75","204"
"Black","","",""
"Black African","21","83","406"
"Black Caribbean","37","111","298"
"Black other","39","11","29"
"Mixed","","",""
"Mixed White/Asian","69","40","57"
"Mixed White/Black African","32","28","90"
"Mixed White/Black Caribbean","33","31","93"
"Mixed other","49","23","48"
"White","","",""
"White British","68","12,757","18,816"
"White Irish","54","99","183"
"White Gypsy/Traveller","?","?","?"
"White other","29","353","1,217"
"Other","","",""
"Arab","27","20","74"
"Any other","31","80","258"
