"","White British","","","Other than White British","",""
"","%","Homeowners ('000s)","All households ('000s)","%","Homeowners ('000s)","All households ('000s)"
"Up to £99","18","35","195","3","2","51"
"£100 to £199","39","592","1,524","18","56","305"
"£200 to £299","50","1,010","2,021","29","122","425"
"£300 to £399","58","1,253","2,154","28","137","481"
"£400 to £499","61","1,077","1,768","32","121","378"
"£500 to £599","66","1,076","1,619","30","116","386"
"£600 to £699","72","1,128","1,559","41","144","354"
"£700 to £799","77","988","1,289","43","115","269"
"£800 to £899","80","889","1,113","43","107","245"
"£900 to £999","80","711","891","62","115","186"
"£1000 and above","86","3,921","4,562","59","573","975"
