"Title","Home ownership by ethnicity and weekly income"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","income_band","%","Homeowners ('000s)","All households ('000s)"
"White British","Up to £99","18","35","195"
"White British","£100 to £199","39","592","1,524"
"White British","£200 to £299","50","1,010","2,021"
"White British","£300 to £399","58","1,253","2,154"
"White British","£400 to £499","61","1,077","1,768"
"White British","£500 to £599","66","1,076","1,619"
"White British","£600 to £699","72","1,128","1,559"
"White British","£700 to £799","77","988","1,289"
"White British","£800 to £899","80","889","1,113"
"White British","£900 to £999","80","711","891"
"White British","£1000 and above","86","3,921","4,562"
"Other than White British","Up to £99","3","2","51"
"Other than White British","£100 to £199","18","56","305"
"Other than White British","£200 to £299","29","122","425"
"Other than White British","£300 to £399","28","137","481"
"Other than White British","£400 to £499","32","121","378"
"Other than White British","£500 to £599","30","116","386"
"Other than White British","£600 to £699","41","144","354"
"Other than White British","£700 to £799","43","115","269"
"Other than White British","£800 to £899","43","107","245"
"Other than White British","£900 to £999","62","115","186"
"Other than White British","£1000 and above","59","573","975"
