"Title","A* to C in English and Maths GCSE by ethnicity, gender and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Grouping","Ethnicity","%","Pupils"
"FSM Boys","All","35","37,080"
"FSM Boys","Asian","51","4,724"
"FSM Boys","Bangladeshi","62","1,267"
"FSM Boys","Indian","58","539"
"FSM Boys","Pakistani","44","2,396"
"FSM Boys","Asian other","53","522"
"FSM Boys","Black","44","3,317"
"FSM Boys","Black African","49","2,075"
"FSM Boys","Black Caribbean","33","838"
"FSM Boys","Black other","42","404"
"FSM Boys","Chinese","76","67"
"FSM Boys","Mixed","38","2,121"
"FSM Boys","Mixed White/Asian","41","362"
"FSM Boys","Mixed White/Black African","43","275"
"FSM Boys","Mixed White/Black Caribbean","33","816"
"FSM Boys","Mixed other","42","668"
"FSM Boys","White","31","25,284"
"FSM Boys","White British","30","23,654"
"FSM Boys","White Irish","38","115"
"FSM Boys","White Irish Traveller","17","41"
"FSM Boys","White Gypsy/Roma","7","157"
"FSM Boys","White other","44","1,317"
"FSM Boys","Other","49","1,060"
"FSM Boys","Unknown","30","507"
"FSM Girls","All","43","35,448"
"FSM Girls","Asian","57","4,294"
"FSM Girls","Bangladeshi","60","1,194"
"FSM Girls","Indian","67","503"
"FSM Girls","Pakistani","51","2,140"
"FSM Girls","Asian other","63","457"
"FSM Girls","Black","55","3,227"
"FSM Girls","Black African","58","2,011"
"FSM Girls","Black Caribbean","46","851"
"FSM Girls","Black other","53","365"
"FSM Girls","Chinese","83","63"
"FSM Girls","Mixed","47","2,119"
"FSM Girls","Mixed White/Asian","54","370"
"FSM Girls","Mixed White/Black African","55","254"
"FSM Girls","Mixed White/Black Caribbean","42","804"
"FSM Girls","Mixed other","47","691"
"FSM Girls","White","38","24,311"
"FSM Girls","White British","38","22,784"
"FSM Girls","White Irish","42","98"
"FSM Girls","White Irish Traveller","16","32"
"FSM Girls","White Gypsy/Roma","12","173"
"FSM Girls","White other","49","1,224"
"FSM Girls","Other","55","964"
"FSM Girls","Unknown","40","470"
"Non-FSM Boys","All","63","238,526"
"Non-FSM Boys","Asian","67","21,835"
"Non-FSM Boys","Bangladeshi","67","2,972"
"Non-FSM Boys","Indian","76","6,782"
"Non-FSM Boys","Pakistani","58","8,163"
"Non-FSM Boys","Asian other","70","3,918"
"Non-FSM Boys","Black","56","10,594"
"Non-FSM Boys","Black African","61","6,594"
"Non-FSM Boys","Black Caribbean","47","2,710"
"Non-FSM Boys","Black other","51","1,290"
"Non-FSM Boys","Chinese","78","966"
"Non-FSM Boys","Mixed","63","9,414"
"Non-FSM Boys","Mixed White/Asian","73","2,180"
"Non-FSM Boys","Mixed White/Black African","61","1,079"
"Non-FSM Boys","Mixed White/Black Caribbean","53","2,798"
"Non-FSM Boys","Mixed other","65","3,357"
"Non-FSM Boys","White","63","190,070"
"Non-FSM Boys","White British","63","177,753"
"Non-FSM Boys","White Irish","74","768"
"Non-FSM Boys","White Irish Traveller","19","26"
"Non-FSM Boys","White Gypsy/Roma","10","377"
"Non-FSM Boys","White other","56","11,146"
"Non-FSM Boys","Other","61","3,182"
"Non-FSM Boys","Unknown","51","2,465"
"Non-FSM Girls","All","71","229,635"
"Non-FSM Girls","Asian","74","20,365"
"Non-FSM Girls","Bangladeshi","73","2,886"
"Non-FSM Girls","Indian","82","6,222"
"Non-FSM Girls","Pakistani","65","7,735"
"Non-FSM Girls","Asian other","80","3,522"
"Non-FSM Girls","Black","68","10,786"
"Non-FSM Girls","Black African","71","6,669"
"Non-FSM Girls","Black Caribbean","62","2,817"
"Non-FSM Girls","Black other","65","1,300"
"Non-FSM Girls","Chinese","88","930"
"Non-FSM Girls","Mixed","71","9,214"
"Non-FSM Girls","Mixed White/Asian","79","2,177"
"Non-FSM Girls","Mixed White/Black African","69","1,079"
"Non-FSM Girls","Mixed White/Black Caribbean","64","2,742"
"Non-FSM Girls","Mixed other","73","3,216"
"Non-FSM Girls","White","71","183,098"
"Non-FSM Girls","White British","71","171,125"
"Non-FSM Girls","White Irish","79","793"
"Non-FSM Girls","White Irish Traveller","39","23"
"Non-FSM Girls","White Gypsy/Roma","12","400"
"Non-FSM Girls","White other","64","10,757"
"Non-FSM Girls","Other","69","2,913"
"Non-FSM Girls","Unknown","61","2,329"
