"Title","A* to C in English and Maths GCSE by ethnicity and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","FSM","","Non-FSM",""
"Ethnicity","%","Pupils","%","Pupils"
"All","39","72,528","67","468,161"
"Asian","54","9,018","70","42,200"
"Bangladeshi","61","2,461","70","5,858"
"Indian","62","1,042","79","13,004"
"Pakistani","47","4,536","61","15,898"
"Asian other","58","979","75","7,440"
"Black","49","6,544","62","21,380"
"Black African","53","4,086","66","13,263"
"Black Caribbean","39","1,689","54","5,527"
"Black other","47","769","58","2,590"
"Chinese","79","130","83","1,896"
"Mixed","43","4,240","67","18,628"
"Mixed White/Asian","48","732","76","4,357"
"Mixed White/Black African","48","529","65","2,158"
"Mixed White/Black Caribbean","37","1,620","58","5,540"
"Mixed other","45","1,359","69","6,573"
"White","34","49,595","67","373,168"
"White British","34","46,438","67","348,878"
"White Irish","40","213","77","1,561"
"White Irish Traveller","16","73","29","49"
"White Gypsy/Roma","9","330","11","777"
"White other","46","2,541","60","21,903"
"Other","52","2,024","65","6,095"
"Unknown","35","977","56","4,794"
