"Title","A* to C in English and Maths GCSE by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","%","Pupils"
"All","All - England","63","537,808"
"All","County Durham","62","4,979"
"All","Darlington","62","1,139"
"All","Gateshead","65","1,913"
"All","Hartlepool","55","1,068"
"All","Middlesbrough","55","1,464"
"All","Newcastle upon Tyne","62","2,393"
"All","North Tyneside","68","1,945"
"All","Northumberland","61","3,198"
"All","Redcar and Cleveland","61","1,620"
"All","South Tyneside","62","1,535"
"All","Stockton-on-Tees","64","1,994"
"All","Sunderland","59","2,828"
"All","Blackburn with Darwen","65","1,754"
"All","Blackpool","48","1,331"
"All","Bolton","59","3,240"
"All","Bury","62","2,060"
"All","Cheshire East","68","3,740"
"All","Cheshire West and Chester","66","3,443"
"All","Cumbria","63","5,134"
"All","Halton","60","1,373"
"All","Knowsley","40","1,147"
"All","Lancashire","64","12,106"
"All","Liverpool","57","4,611"
"All","Manchester","55","4,715"
"All","Oldham","57","2,920"
"All","Rochdale","59","2,315"
"All","Salford","53","2,084"
"All","Sefton","60","3,076"
"All","St. Helens","60","1,767"
"All","Stockport","66","2,816"
"All","Tameside","64","2,493"
"All","Trafford","75","2,758"
"All","Warrington","64","2,365"
"All","Wigan","63","3,407"
"All","Wirral","66","3,402"
"All","Barnsley","59","2,088"
"All","Bradford","52","5,859"
"All","Calderdale","65","2,524"
"All","Doncaster","60","3,026"
"All","East Riding of Yorkshire","67","3,346"
"All","Kingston upon Hull, City of","51","2,255"
"All","Kirklees","61","4,534"
"All","Leeds","60","7,483"
"All","North East Lincolnshire","56","1,596"
"All","North Lincolnshire","64","1,856"
"All","North Yorkshire","68","6,188"
"All","Rotherham","62","3,335"
"All","Sheffield","59","5,242"
"All","Wakefield","64","3,645"
"All","York","69","1,585"
"All","Derby","54","2,787"
"All","Derbyshire","62","7,628"
"All","Leicester","57","3,409"
"All","Leicestershire","65","7,017"
"All","Lincolnshire","62","7,807"
"All","Northamptonshire","60","7,650"
"All","Nottingham","50","2,534"
"All","Nottinghamshire","66","7,883"
"All","Rutland","76","489"
"All","Birmingham","60","12,035"
"All","Coventry","61","3,463"
"All","Dudley","56","3,591"
"All","Herefordshire, County of","62","1,732"
"All","Sandwell","50","3,499"
"All","Shropshire","63","2,986"
"All","Solihull","65","2,987"
"All","Staffordshire","60","8,758"
"All","Stoke-on-Trent","56","2,269"
"All","Telford and Wrekin","59","2,014"
"All","Walsall","57","3,261"
"All","Warwickshire","67","5,585"
"All","Wolverhampton","59","2,470"
"All","Worcestershire","65","5,565"
"All","Bedford","59","1,862"
"All","Cambridgeshire","68","5,707"
"All","Central Bedfordshire","64","2,596"
"All","Essex","64","14,607"
"All","Hertfordshire","70","12,613"
"All","Luton","56","2,442"
"All","Norfolk","61","8,014"
"All","Peterborough","55","2,292"
"All","Southend-on-Sea","69","2,047"
"All","Suffolk","60","7,158"
"All","Thurrock","62","1,721"
"All","Camden","63","1,422"
"All","City of London","N/A","N/A"
"All","Hackney","70","2,038"
"All","Hammersmith and Fulham","70","1,350"
"All","Haringey","64","2,231"
"All","Islington","64","1,397"
"All","Kensington and Chelsea","76","740"
"All","Lambeth","62","1,887"
"All","Lewisham","56","2,334"
"All","Newham","63","3,489"
"All","Southwark","69","2,386"
"All","Tower Hamlets","63","2,570"
"All","Wandsworth","70","1,660"
"All","Westminster","72","1,566"
"All","Barking and Dagenham","60","2,201"
"All","Barnet","73","3,647"
"All","Bexley","67","3,192"
"All","Brent","64","3,035"
"All","Bromley","72","3,305"
"All","Croydon","61","3,844"
"All","Ealing","65","2,781"
"All","Enfield","63","3,579"
"All","Greenwich","61","2,204"
"All","Harrow","68","2,127"
"All","Havering","64","2,917"
"All","Hillingdon","65","3,136"
"All","Hounslow","66","2,667"
"All","Kingston upon Thames","78","1,515"
"All","Merton","70","1,440"
"All","Redbridge","72","3,363"
"All","Richmond upon Thames","71","1,367"
"All","Sutton","77","2,667"
"All","Waltham Forest","64","2,539"
"All","Bracknell Forest","61","1,076"
"All","Brighton and Hove","65","2,139"
"All","Buckinghamshire","74","5,622"
"All","East Sussex","63","4,930"
"All","Hampshire","67","13,101"
"All","Isle of Wight","52","1,305"
"All","Kent","64","15,727"
"All","Medway","65","2,967"
"All","Milton Keynes","60","2,800"
"All","Oxfordshire","66","5,975"
"All","Portsmouth","58","1,729"
"All","Reading","64","1,169"
"All","Slough","72","1,632"
"All","Southampton","57","1,952"
"All","Surrey","70","10,399"
"All","West Berkshire","65","1,906"
"All","West Sussex","65","8,118"
"All","Windsor and Maidenhead","72","1,470"
"All","Wokingham","73","1,601"
"All","Bath and North East Somerset","70","2,022"
"All","Bournemouth","67","1,617"
"All","Bristol, City of","60","3,138"
"All","Cornwall","64","5,432"
"All","Devon","65","6,971"
"All","Dorset","65","4,153"
"All","Gloucestershire","66","6,385"
"All","Isles of Scilly","70","23"
"All","North Somerset","63","2,176"
"All","Plymouth","58","2,640"
"All","Poole","68","1,438"
"All","Somerset","63","5,137"
"All","South Gloucestershire","60","2,770"
"All","Swindon","61","2,109"
"All","Torbay","63","1,511"
"All","Wiltshire","66","4,899"
"Asian","All - England","68","50,541"
"Asian","County Durham","70","33"
"Asian","Darlington","52","21"
"Asian","Gateshead","86","35"
"Asian","Hartlepool","71","14"
"Asian","Middlesbrough","72","172"
"Asian","Newcastle upon Tyne","67","249"
"Asian","North Tyneside","58","38"
"Asian","Northumberland","79","42"
"Asian","Redcar and Cleveland","57","21"
"Asian","South Tyneside","67","57"
"Asian","Stockton-on-Tees","63","106"
"Asian","Sunderland","72","90"
"Asian","Blackburn with Darwen","71","735"
"Asian","Blackpool","63","19"
"Asian","Bolton","69","611"
"Asian","Bury","63","244"
"Asian","Cheshire East","66","62"
"Asian","Cheshire West and Chester","76","37"
"Asian","Cumbria","65","31"
"Asian","Halton","!","!"
"Asian","Knowsley","!","!"
"Asian","Lancashire","59","1,147"
"Asian","Liverpool","70","132"
"Asian","Manchester","64","974"
"Asian","Oldham","56","822"
"Asian","Rochdale","61","551"
"Asian","Salford","68","38"
"Asian","Sefton","70","23"
"Asian","St. Helens","!","14"
"Asian","Stockport","68","168"
"Asian","Tameside","67","253"
"Asian","Trafford","81","327"
"Asian","Warrington","80","49"
"Asian","Wigan","63","30"
"Asian","Wirral","78","64"
"Asian","Barnsley","!","6"
"Asian","Bradford","51","2,482"
"Asian","Calderdale","59","375"
"Asian","Doncaster","61","77"
"Asian","East Riding of Yorkshire","67","12"
"Asian","Kingston upon Hull, City of","71","17"
"Asian","Kirklees","60","1,139"
"Asian","Leeds","60","849"
"Asian","North East Lincolnshire","!","10"
"Asian","North Lincolnshire","79","62"
"Asian","North Yorkshire","76","93"
"Asian","Rotherham","58","231"
"Asian","Sheffield","57","501"
"Asian","Wakefield","65","116"
"Asian","York","100","11"
"Asian","Derby","53","482"
"Asian","Derbyshire","!","75"
"Asian","Leicester","68","1,631"
"Asian","Leicestershire","79","505"
"Asian","Lincolnshire","87","76"
"Asian","Northamptonshire","70","326"
"Asian","Nottingham","62","438"
"Asian","Nottinghamshire","73","180"
"Asian","Rutland","!","4"
"Asian","Birmingham","61","4,580"
"Asian","Coventry","74","660"
"Asian","Dudley","56","298"
"Asian","Herefordshire, County of","!","5"
"Asian","Sandwell","59","934"
"Asian","Shropshire","!","19"
"Asian","Solihull","72","278"
"Asian","Staffordshire","60","254"
"Asian","Stoke-on-Trent","60","301"
"Asian","Telford and Wrekin","53","117"
"Asian","Walsall","67","628"
"Asian","Warwickshire","77","263"
"Asian","Wolverhampton","74","530"
"Asian","Worcestershire","63","142"
"Asian","Bedford","63","273"
"Asian","Cambridgeshire","80","190"
"Asian","Central Bedfordshire","59","46"
"Asian","Essex","83","337"
"Asian","Hertfordshire","77","849"
"Asian","Luton","62","967"
"Asian","Norfolk","85","88"
"Asian","Peterborough","54","367"
"Asian","Southend-on-Sea","84","135"
"Asian","Suffolk","67","102"
"Asian","Thurrock","69","65"
"Asian","Camden","64","272"
"Asian","City of London","N/A","N/A"
"Asian","Hackney","75","272"
"Asian","Hammersmith and Fulham","78","116"
"Asian","Haringey","72","127"
"Asian","Islington","78","170"
"Asian","Kensington and Chelsea","81","26"
"Asian","Lambeth","81","79"
"Asian","Lewisham","67","129"
"Asian","Newham","70","1,601"
"Asian","Southwark","77","124"
"Asian","Tower Hamlets","68","1,685"
"Asian","Wandsworth","77","333"
"Asian","Westminster","72","199"
"Asian","Barking and Dagenham","72","398"
"Asian","Barnet","86","512"
"Asian","Bexley","84","207"
"Asian","Brent","70","900"
"Asian","Bromley","89","167"
"Asian","Croydon","74","453"
"Asian","Ealing","69","747"
"Asian","Enfield","81","313"
"Asian","Greenwich","75","207"
"Asian","Harrow","76","900"
"Asian","Havering","72","117"
"Asian","Hillingdon","74","751"
"Asian","Hounslow","77","696"
"Asian","Kingston upon Thames","86","343"
"Asian","Merton","71","222"
"Asian","Redbridge","78","1,623"
"Asian","Richmond upon Thames","70","96"
"Asian","Sutton","93","524"
"Asian","Waltham Forest","71","635"
"Asian","Bracknell Forest","78","41"
"Asian","Brighton and Hove","63","82"
"Asian","Buckinghamshire","69","855"
"Asian","East Sussex","75","60"
"Asian","Hampshire","75","333"
"Asian","Isle of Wight","50","12"
"Asian","Kent","86","526"
"Asian","Medway","82","157"
"Asian","Milton Keynes","72","204"
"Asian","Oxfordshire","60","317"
"Asian","Portsmouth","74","95"
"Asian","Reading","75","221"
"Asian","Slough","79","798"
"Asian","Southampton","78","176"
"Asian","Surrey","74","602"
"Asian","West Berkshire","76","50"
"Asian","West Sussex","71","330"
"Asian","Windsor and Maidenhead","68","191"
"Asian","Wokingham","70","166"
"Asian","Bath and North East Somerset","!","24"
"Asian","Bournemouth","85","40"
"Asian","Bristol, City of","67","253"
"Asian","Cornwall","67","21"
"Asian","Devon","77","26"
"Asian","Dorset","65","46"
"Asian","Gloucestershire","86","146"
"Asian","Isles of Scilly","N/A","0"
"Asian","North Somerset","81","32"
"Asian","Plymouth","88","25"
"Asian","Poole","87","31"
"Asian","Somerset","76","50"
"Asian","South Gloucestershire","72","67"
"Asian","Swindon","67","195"
"Asian","Torbay","!","12"
"Asian","Wiltshire","73","70"
"Black","All - England","60","27,589"
"Black","County Durham","50","6"
"Black","Darlington","!","!"
"Black","Gateshead","57","14"
"Black","Hartlepool","!","5"
"Black","Middlesbrough","67","15"
"Black","Newcastle upon Tyne","50","80"
"Black","North Tyneside","73","11"
"Black","Northumberland","!","!"
"Black","Redcar and Cleveland","100","3"
"Black","South Tyneside","!","8"
"Black","Stockton-on-Tees","!","!"
"Black","Sunderland","50","16"
"Black","Blackburn with Darwen","53","15"
"Black","Blackpool","44","9"
"Black","Bolton","46","124"
"Black","Bury","47","36"
"Black","Cheshire East","62","13"
"Black","Cheshire West and Chester","50","12"
"Black","Cumbria","46","13"
"Black","Halton","!","!"
"Black","Knowsley","!","!"
"Black","Lancashire","71","38"
"Black","Liverpool","54","137"
"Black","Manchester","57","741"
"Black","Oldham","53","47"
"Black","Rochdale","68","63"
"Black","Salford","63","78"
"Black","Sefton","40","15"
"Black","St. Helens","63","8"
"Black","Stockport","67","21"
"Black","Tameside","66","35"
"Black","Trafford","69","75"
"Black","Warrington","36","14"
"Black","Wigan","69","16"
"Black","Wirral","!","8"
"Black","Barnsley","33","15"
"Black","Bradford","56","81"
"Black","Calderdale","60","20"
"Black","Doncaster","46","35"
"Black","East Riding of Yorkshire","!","!"
"Black","Kingston upon Hull, City of","48","23"
"Black","Kirklees","51","85"
"Black","Leeds","52","440"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","73","11"
"Black","North Yorkshire","67","18"
"Black","Rotherham","61","38"
"Black","Sheffield","56","260"
"Black","Wakefield","63","38"
"Black","York","56","9"
"Black","Derby","45","85"
"Black","Derbyshire","!","19"
"Black","Leicester","53","345"
"Black","Leicestershire","70","43"
"Black","Lincolnshire","62","34"
"Black","Northamptonshire","60","282"
"Black","Nottingham","51","248"
"Black","Nottinghamshire","76","78"
"Black","Rutland","!","3"
"Black","Birmingham","55","1,489"
"Black","Coventry","59","276"
"Black","Dudley","46","70"
"Black","Herefordshire, County of","!","5"
"Black","Sandwell","47","257"
"Black","Shropshire","!","7"
"Black","Solihull","54","72"
"Black","Staffordshire","60","37"
"Black","Stoke-on-Trent","44","48"
"Black","Telford and Wrekin","53","36"
"Black","Walsall","55","139"
"Black","Warwickshire","52","50"
"Black","Wolverhampton","53","221"
"Black","Worcestershire","30","20"
"Black","Bedford","53","109"
"Black","Cambridgeshire","57","56"
"Black","Central Bedfordshire","52","44"
"Black","Essex","71","333"
"Black","Hertfordshire","71","447"
"Black","Luton","54","294"
"Black","Norfolk","66","68"
"Black","Peterborough","62","73"
"Black","Southend-on-Sea","78","125"
"Black","Suffolk","47","53"
"Black","Thurrock","75","164"
"Black","Camden","59","345"
"Black","City of London","N/A","N/A"
"Black","Hackney","65","719"
"Black","Hammersmith and Fulham","59","333"
"Black","Haringey","57","639"
"Black","Islington","63","423"
"Black","Kensington and Chelsea","72","148"
"Black","Lambeth","58","945"
"Black","Lewisham","52","1,041"
"Black","Newham","60","917"
"Black","Southwark","71","1,094"
"Black","Tower Hamlets","61","307"
"Black","Wandsworth","61","458"
"Black","Westminster","65","333"
"Black","Barking and Dagenham","63","551"
"Black","Barnet","64","489"
"Black","Bexley","77","532"
"Black","Brent","54","767"
"Black","Bromley","68","272"
"Black","Croydon","59","1,124"
"Black","Ealing","55","574"
"Black","Enfield","59","879"
"Black","Greenwich","67","604"
"Black","Harrow","60","344"
"Black","Havering","66","362"
"Black","Hillingdon","59","327"
"Black","Hounslow","60","344"
"Black","Kingston upon Thames","66","73"
"Black","Merton","63","299"
"Black","Redbridge","62","494"
"Black","Richmond upon Thames","50","48"
"Black","Sutton","74","212"
"Black","Waltham Forest","57","598"
"Black","Bracknell Forest","69","26"
"Black","Brighton and Hove","51","41"
"Black","Buckinghamshire","61","132"
"Black","East Sussex","61","31"
"Black","Hampshire","53","115"
"Black","Isle of Wight","N/A","0"
"Black","Kent","78","303"
"Black","Medway","64","116"
"Black","Milton Keynes","55","338"
"Black","Oxfordshire","58","126"
"Black","Portsmouth","70","33"
"Black","Reading","51","90"
"Black","Slough","63","148"
"Black","Southampton","59","56"
"Black","Surrey","63","180"
"Black","West Berkshire","60","25"
"Black","West Sussex","39","120"
"Black","Windsor and Maidenhead","66","29"
"Black","Wokingham","64","75"
"Black","Bath and North East Somerset","50","24"
"Black","Bournemouth","59","17"
"Black","Bristol, City of","48","282"
"Black","Cornwall","44","9"
"Black","Devon","71","14"
"Black","Dorset","!","9"
"Black","Gloucestershire","51","63"
"Black","Isles of Scilly","N/A","0"
"Black","North Somerset","33","15"
"Black","Plymouth","17","18"
"Black","Poole","!","4"
"Black","Somerset","50","14"
"Black","South Gloucestershire","51","43"
"Black","Swindon","62","42"
"Black","Torbay","57","7"
"Black","Wiltshire","55","38"
"Chinese","All - England","84","1,987"
"Chinese","County Durham","!","6"
"Chinese","Darlington","!","3"
"Chinese","Gateshead","!","!"
"Chinese","Hartlepool","!","!"
"Chinese","Middlesbrough","N/A","0"
"Chinese","Newcastle upon Tyne","46","13"
"Chinese","North Tyneside","100","9"
"Chinese","Northumberland","100","6"
"Chinese","Redcar and Cleveland","!","!"
"Chinese","South Tyneside","N/A","0"
"Chinese","Stockton-on-Tees","!","!"
"Chinese","Sunderland","100","3"
"Chinese","Blackburn with Darwen","!","!"
"Chinese","Blackpool","100","5"
"Chinese","Bolton","!","7"
"Chinese","Bury","!","4"
"Chinese","Cheshire East","73","15"
"Chinese","Cheshire West and Chester","!","8"
"Chinese","Cumbria","!","9"
"Chinese","Halton","N/A","0"
"Chinese","Knowsley","!","!"
"Chinese","Lancashire","88","32"
"Chinese","Liverpool","82","45"
"Chinese","Manchester","81","43"
"Chinese","Oldham","!","7"
"Chinese","Rochdale","!","!"
"Chinese","Salford","!","6"
"Chinese","Sefton","100","8"
"Chinese","St. Helens","100","4"
"Chinese","Stockport","56","16"
"Chinese","Tameside","67","12"
"Chinese","Trafford","90","49"
"Chinese","Warrington","!","6"
"Chinese","Wigan","100","3"
"Chinese","Wirral","100","14"
"Chinese","Barnsley","N/A","0"
"Chinese","Bradford","!","!"
"Chinese","Calderdale","100","4"
"Chinese","Doncaster","!","10"
"Chinese","East Riding of Yorkshire","!","3"
"Chinese","Kingston upon Hull, City of","!","!"
"Chinese","Kirklees","100","10"
"Chinese","Leeds","75","28"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","100","4"
"Chinese","North Yorkshire","100","13"
"Chinese","Rotherham","!","8"
"Chinese","Sheffield","83","18"
"Chinese","Wakefield","!","6"
"Chinese","York","!","9"
"Chinese","Derby","!","8"
"Chinese","Derbyshire","71","14"
"Chinese","Leicester","!","3"
"Chinese","Leicestershire","73","22"
"Chinese","Lincolnshire","82","33"
"Chinese","Northamptonshire","!","20"
"Chinese","Nottingham","100","8"
"Chinese","Nottinghamshire","88","25"
"Chinese","Rutland","N/A","0"
"Chinese","Birmingham","82","45"
"Chinese","Coventry","!","9"
"Chinese","Dudley","!","4"
"Chinese","Herefordshire, County of","100","4"
"Chinese","Sandwell","!","5"
"Chinese","Shropshire","!","8"
"Chinese","Solihull","!","10"
"Chinese","Staffordshire","80","20"
"Chinese","Stoke-on-Trent","!","9"
"Chinese","Telford and Wrekin","!","9"
"Chinese","Walsall","100","3"
"Chinese","Warwickshire","69","16"
"Chinese","Wolverhampton","!","3"
"Chinese","Worcestershire","!","8"
"Chinese","Bedford","100","3"
"Chinese","Cambridgeshire","87","30"
"Chinese","Central Bedfordshire","!","10"
"Chinese","Essex","80","51"
"Chinese","Hertfordshire","84","63"
"Chinese","Luton","!","4"
"Chinese","Norfolk","84","25"
"Chinese","Peterborough","!","8"
"Chinese","Southend-on-Sea","!","22"
"Chinese","Suffolk","!","4"
"Chinese","Thurrock","67","9"
"Chinese","Camden","!","10"
"Chinese","City of London","N/A","N/A"
"Chinese","Hackney","!","12"
"Chinese","Hammersmith and Fulham","!","6"
"Chinese","Haringey","67","12"
"Chinese","Islington","!","!"
"Chinese","Kensington and Chelsea","!","!"
"Chinese","Lambeth","!","15"
"Chinese","Lewisham","76","37"
"Chinese","Newham","73","11"
"Chinese","Southwark","91","34"
"Chinese","Tower Hamlets","100","10"
"Chinese","Wandsworth","100","14"
"Chinese","Westminster","!","18"
"Chinese","Barking and Dagenham","!","6"
"Chinese","Barnet","87","46"
"Chinese","Bexley","85","40"
"Chinese","Brent","!","9"
"Chinese","Bromley","89","36"
"Chinese","Croydon","!","21"
"Chinese","Ealing","!","5"
"Chinese","Enfield","85","20"
"Chinese","Greenwich","83","24"
"Chinese","Harrow","73","11"
"Chinese","Havering","!","11"
"Chinese","Hillingdon","!","12"
"Chinese","Hounslow","!","5"
"Chinese","Kingston upon Thames","!","23"
"Chinese","Merton","100","6"
"Chinese","Redbridge","!","20"
"Chinese","Richmond upon Thames","!","12"
"Chinese","Sutton","100","41"
"Chinese","Waltham Forest","55","22"
"Chinese","Bracknell Forest","100","4"
"Chinese","Brighton and Hove","100","3"
"Chinese","Buckinghamshire","!","18"
"Chinese","East Sussex","100","9"
"Chinese","Hampshire","89","35"
"Chinese","Isle of Wight","!","3"
"Chinese","Kent","92","64"
"Chinese","Medway","!","11"
"Chinese","Milton Keynes","67","15"
"Chinese","Oxfordshire","81","26"
"Chinese","Portsmouth","!","7"
"Chinese","Reading","100","21"
"Chinese","Slough","100","5"
"Chinese","Southampton","!","9"
"Chinese","Surrey","86","44"
"Chinese","West Berkshire","!","12"
"Chinese","West Sussex","58","12"
"Chinese","Windsor and Maidenhead","100","8"
"Chinese","Wokingham","100","10"
"Chinese","Bath and North East Somerset","!","!"
"Chinese","Bournemouth","!","7"
"Chinese","Bristol, City of","73","15"
"Chinese","Cornwall","!","!"
"Chinese","Devon","!","13"
"Chinese","Dorset","!","11"
"Chinese","Gloucestershire","83","23"
"Chinese","Isles of Scilly","N/A","0"
"Chinese","North Somerset","!","6"
"Chinese","Plymouth","69","13"
"Chinese","Poole","!","5"
"Chinese","Somerset","73","11"
"Chinese","South Gloucestershire","100","6"
"Chinese","Swindon","!","10"
"Chinese","Torbay","100","8"
"Chinese","Wiltshire","100","6"
"Mixed","All - England","63","22,753"
"Mixed","County Durham","67","42"
"Mixed","Darlington","73","15"
"Mixed","Gateshead","80","20"
"Mixed","Hartlepool","63","8"
"Mixed","Middlesbrough","66","53"
"Mixed","Newcastle upon Tyne","71","65"
"Mixed","North Tyneside","86","35"
"Mixed","Northumberland","69","36"
"Mixed","Redcar and Cleveland","65","20"
"Mixed","South Tyneside","53","17"
"Mixed","Stockton-on-Tees","64","25"
"Mixed","Sunderland","56","27"
"Mixed","Blackburn with Darwen","74","61"
"Mixed","Blackpool","42","24"
"Mixed","Bolton","50","88"
"Mixed","Bury","61","101"
"Mixed","Cheshire East","66","93"
"Mixed","Cheshire West and Chester","71","72"
"Mixed","Cumbria","83","53"
"Mixed","Halton","76","25"
"Mixed","Knowsley","57","21"
"Mixed","Lancashire","66","277"
"Mixed","Liverpool","52","203"
"Mixed","Manchester","50","344"
"Mixed","Oldham","48","90"
"Mixed","Rochdale","61","83"
"Mixed","Salford","60","80"
"Mixed","Sefton","63","60"
"Mixed","St. Helens","80","15"
"Mixed","Stockport","73","105"
"Mixed","Tameside","68","74"
"Mixed","Trafford","73","132"
"Mixed","Warrington","51","35"
"Mixed","Wigan","55","66"
"Mixed","Wirral","70","69"
"Mixed","Barnsley","71","35"
"Mixed","Bradford","46","218"
"Mixed","Calderdale","59","93"
"Mixed","Doncaster","57","61"
"Mixed","East Riding of Yorkshire","67","46"
"Mixed","Kingston upon Hull, City of","57","44"
"Mixed","Kirklees","47","225"
"Mixed","Leeds","58","335"
"Mixed","North East Lincolnshire","55","38"
"Mixed","North Lincolnshire","58","19"
"Mixed","North Yorkshire","66","124"
"Mixed","Rotherham","67","58"
"Mixed","Sheffield","53","265"
"Mixed","Wakefield","64","64"
"Mixed","York","82","33"
"Mixed","Derby","51","166"
"Mixed","Derbyshire","59","161"
"Mixed","Leicester","51","210"
"Mixed","Leicestershire","68","246"
"Mixed","Lincolnshire","69","134"
"Mixed","Northamptonshire","54","327"
"Mixed","Nottingham","53","231"
"Mixed","Nottinghamshire","69","255"
"Mixed","Rutland","67","9"
"Mixed","Birmingham","58","834"
"Mixed","Coventry","53","181"
"Mixed","Dudley","53","183"
"Mixed","Herefordshire, County of","80","25"
"Mixed","Sandwell","48","223"
"Mixed","Shropshire","66","53"
"Mixed","Solihull","57","181"
"Mixed","Staffordshire","57","189"
"Mixed","Stoke-on-Trent","48","69"
"Mixed","Telford and Wrekin","56","70"
"Mixed","Walsall","54","155"
