"Title","A* to C in English and Maths GCSE by ethnicity, Special Education Needs (SEN) and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","SEN","All","Boys","Girls"
"All","No identified SEN","70","67","72"
"All","All SEN","24","23","27"
"All","SEN Support","29","28","31"
"All","SEN with a statement or EHC plan","10","11","8"
"Asian","No identified SEN","73","70","75"
"Asian","All SEN","25","24","26"
"Asian","SEN Support","29","29","30"
"Asian","SEN with a statement or EHC plan","10","10","10"
"Black","No identified SEN","66","61","70"
"Black","All SEN","23","21","26"
"Black","SEN Support","28","!","!"
"Black","SEN with a statement or EHC plan","8","!","!"
"Chinese","No identified SEN","86","81","90"
"Chinese","All SEN","42","36","52"
"Chinese","SEN Support","49","!","!"
"Chinese","SEN with a statement or EHC plan","28","!","!"
"Mixed","No identified SEN","69","67","72"
"Mixed","All SEN","26","24","30"
"Mixed","SEN Support","31","28","34"
"Mixed","SEN with a statement or EHC plan","12","12","10"
"White","No identified SEN","70","67","72"
"White","All SEN","24","23","27"
"White","SEN Support","29","28","31"
"White","SEN with a statement or EHC plan","10","11","8"
