"Title","Reading attainments for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value","% higher standard"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","All","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","70","20"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","70","20"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - British","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","70","21"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Irish","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","72","26"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","27","6"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Gypsy/Roma","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","21","2"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Any other","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","64","17"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","72","23"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","66","16"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black African","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","73","22"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Asian","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","77","28"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - Any other","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","72","24"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","72","19"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Indian","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","79","27"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Pakistani","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","67","14"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Bangladeshi","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","71","19"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Any other","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","73","22"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","71","18"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Caribbean","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","68","15"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - African","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","73","20"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Any other","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","68","17"
"% of pupils reaching the key stage 1 expected standard in reading by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Chinese","DFE","Boys","All/Boys/Girls","All","All/FSM/Non-FSM","77","29"
