"Title","Civil Service workforce by ethnicity and gender"
"Location","UK"
"Time period","2018"
"Data source","Annual Civil Service Employment Survey"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","03/08/2018"

"","Male","","Female",""
"","%","Headcount","%","Headcount"
"All ","N/A","198,420","N/A","231,660"
"Asian","6.0","8,700","6.6","11,780"
"Chinese","0.3","390","0.3","570"
"Black","2.6","3,720","3.7","6,630"
"Mixed","1.5","2,150","1.6","2,800"
"White","89.1","128,570","87.2","154,720"
"Other","0.6","800","0.5","940"
"Unknown","N/A","54,090","N/A","54,220"
