"Ethnicity","Region or Country","%","Headcount"
"Asian","UK","6.4","20,470"
"Asian","North East","1.1","240"
"Asian","North West","3.9","1,570"
"Asian","Yorkshire and The Humber","6.2","1,580"
"Asian","East Midlands","8.6","1,260"
"Asian","West Midlands","13.7","2,780"
"Asian","East","5.0","820"
"Asian","London","16.7","10,030"
"Asian","South East","3.3","950"
"Asian","South West","1.5","450"
"Asian","Wales","1.1","280"
"Asian","Scotland","1.1","340"
"Asian","Northern Ireland","0.2","10"
"Asian","Unknown","N/A","30"
"Black","UK","3.2","10,350"
"Black","North East","0.3","70"
"Black","North West","1.0","410"
"Black","Yorkshire and The Humber","1.3","340"
"Black","East Midlands","2.1","310"
"Black","West Midlands","3.9","790"
"Black","East","2.3","380"
"Black","London","11.6","6,950"
"Black","South East","1.6","450"
"Black","South West","1.1","320"
"Black","Wales","0.5","140"
"Black","Scotland","0.4","140"
"Black","Northern Ireland","!","!"
"Black","Unknown","N/A","10"
"Chinese","UK","0.3","960"
"Chinese","North East","0.2","40"
"Chinese","North West","0.3","110"
"Chinese","Yorkshire and The Humber","0.2","50"
"Chinese","East Midlands","0.1","20"
"Chinese","West Midlands","0.2","40"
"Chinese","East","0.3","50"
"Chinese","London","0.7","440"
"Chinese","South East","0.3","80"
"Chinese","South West","0.2","50"
"Chinese","Wales","0.2","50"
"Chinese","Scotland","0.1","40"
"Chinese","Northern Ireland","!","!"
"Chinese","Unknown","N/A","0"
"Mixed","UK","1.5","4,950"
"Mixed","North East","0.7","150"
"Mixed","North West","1.2","480"
"Mixed","Yorkshire and The Humber","1.2","310"
"Mixed","East Midlands","1.4","210"
"Mixed","West Midlands","1.6","320"
"Mixed","East","1.4","240"
"Mixed","London","3.3","2,000"
"Mixed","South East","1.3","380"
"Mixed","South West","1.2","340"
"Mixed","Wales","1.0","260"
"Mixed","Scotland","0.6","180"
"Mixed","Northern Ireland","0.3","10"
"Mixed","Unknown","N/A","10"
"White","UK","88.0","283,300"
"White","North East","97.6","21,670"
"White","North West","93.4","38,130"
"White","Yorkshire and The Humber","90.7","22,990"
"White","East Midlands","87.4","12,840"
"White","West Midlands","80.1","16,260"
"White","East","90.4","14,880"
"White","London","66.3","39,730"
"White","South East","93.0","26,650"
"White","South West","95.7","28,050"
"White","Wales","96.9","25,240"
"White","Scotland","97.5","30,630"
"White","Northern Ireland","99.2","2,940"
"White","Unknown","N/A","670"
"Other","UK","0.5","1,740"
"Other","North East","0.2","40"
"Other","North West","0.3","130"
"Other","Yorkshire and The Humber","0.3","90"
"Other","East Midlands","0.4","50"
"Other","West Midlands","0.5","100"
"Other","East","0.7","110"
"Other","London","1.3","780"
"Other","South East","0.5","150"
"Other","South West","0.3","100"
"Other","Wales","0.3","90"
"Other","Scotland","0.3","90"
"Other","Northern Ireland","!","!"
"Other","Unknown","N/A","10"
