"Title","Fixed period exclusions by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: exclusions"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","20/07/2017"

"Ethnicity","Exclusions","%"
"Asian","13,905","1.91"
"Bangladeshi","2,390","2.05"
"Indian","1,760","0.90"
"Pakistani","8,065","2.75"
"Asian other","1,695","1.41"
"Black","22,900","5.89"
"Black African","11,210","4.42"
"Black Caribbean","8,595","10.08"
"Black other","3,090","6.20"
"Chinese","160","0.56"
"Mixed","21,665","5.98"
"Mixed White/Asian","2,730","3.25"
"Mixed White/Black African","2,590","5.46"
"Mixed White/Black Caribbean","9,965","9.89"
"Mixed other","6,380","4.89"
"White","269,535","5.14"
"White British","251,875","5.23"
"White Irish","935","4.43"
"White Irish Traveller","885","18.03"
"White Gypsy/Roma","4,505","22.15"
"White other","11,335","2.93"
"Other","3,645","3.05"
"Unknown","4,520","6.61"
