"Title","Permanent exclusions by ethnicity and type of school"
"Location","England"
"Time period","2016/17"
"Data source","Permanent and fixed-period exclusions in England: 2016 to 2017"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19/07/2018"

"school_type","Ethnicity","Exclusions","%"
"Primary","Asian","15","0.00"
"Primary","Bangladeshi","0","0.00"
"Primary","Indian","0","0.00"
"Primary","Pakistani","15","0.01"
"Primary","Asian other","!","!"
"Primary","Black","80","0.03"
"Primary","Black African","35","0.02"
"Primary","Black Caribbean","30","0.07"
"Primary","Black other","15","0.04"
"Primary","Chinese","0","0.00"
"Primary","Mixed","115","0.04"
"Primary","Mixed White/Asian","10","0.02"
"Primary","Mixed White/Black African","15","0.04"
"Primary","Mixed White/Black Caribbean","55","0.08"
"Primary","Mixed other","35","0.03"
"Primary","White","1,015","0.03"
"Primary","White British","955","0.03"
"Primary","White Irish","!","!"
"Primary","Gypsy/Roma","20","0.10"
"Primary","Irish traveller","10","0.24"
"Primary","White other","30","0.01"
"Primary","Other","5","0.01"
"Primary","Unknown","15","0.04"
"Secondary","Asian","290","0.08"
"Secondary","Bangladeshi","40","0.07"
"Secondary","Indian","50","0.05"
"Secondary","Pakistani","170","0.12"
"Secondary","Asian other","25","0.05"
"Secondary","Black","530","0.29"
"Secondary","Black African","235","0.20"
"Secondary","Black Caribbean","225","0.53"
"Secondary","Black other","70","0.33"
"Secondary","Chinese","!","!"
"Secondary","Mixed","510","0.32"
"Secondary","Mixed White/Asian","85","0.23"
"Secondary","Mixed White/Black African","50","0.26"
"Secondary","Mixed White/Black Caribbean","225","0.50"
"Secondary","Mixed other","145","0.25"
"Secondary","White","4,820","0.20"
"Secondary","White British","4,455","0.20"
"Secondary","White Irish","30","0.29"
"Secondary","Gypsy/Roma","75","0.94"
"Secondary","Irish traveller","15","1.42"
"Secondary","White other","245","0.15"
"Secondary","Other","90","0.17"
"Secondary","Unknown","140","0.30"
"Special","Asian","5","0.03"
"Special","Bangladeshi","!","!"
"Special","Indian","0","0.00"
"Special","Pakistani","!","!"
"Special","Asian other","!","!"
"Special","Black","5","0.08"
"Special","Black African","!","!"
"Special","Black Caribbean","5","0.24"
"Special","Black other","!","!"
"Special","Chinese","0","0.00"
"Special","Mixed","10","0.15"
"Special","Mixed White/Asian","0","0.00"
"Special","Mixed White/Black African","0","0.00"
"Special","Mixed White/Black Caribbean","5","0.16"
"Special","Mixed other","5","0.25"
"Special","White","60","0.07"
"Special","White British","55","0.07"
"Special","White Irish","0","0.00"
"Special","Gypsy/Roma","0","0.00"
"Special","Irish traveller","0","0.00"
"Special","White other","5","0.10"
"Special","Other","!","!"
"Special","Unknown","5","0.21"
