"","Boys","","","","Girls","","",""
"Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score","Expected standard","Higher standard","Average scaled score","Progress score"
"All","62","16","102","-0.3","70","22","103","0.4"
"Asian","59","14","101","-0.4","67","18","103","0.2"
"Bangladeshi","61","12","101","0.1","68","17","103","0.5"
"Indian","67","19","103","-0.2","75","25","105","0.5"
"Pakistani","52","9","100","-0.9","60","13","101","-0.3"
"Asian other","64","18","102","0.2","70","22","104","0.6"
"Black","58","11","101","-0.2","66","15","102","0.4"
"Black African","60","12","101","0.0","68","17","103","0.6"
"Black Caribbean","53","8","100","-0.9","63","13","101","-0.2"
"Black other","56","9","100","-0.1","64","14","102","0.3"
"Chinese","71","29","104","0.9","79","36","106","1.8"
"Mixed","64","17","102","-0.1","73","24","104","0.9"
"Mixed White/Asian","70","23","104","0.4","78","30","105","1.2"
"Mixed White/Black African","62","15","102","-0.2","72","21","104","1.2"
"Mixed White/Black Caribbean","58","11","101","-0.9","70","18","103","0.2"
"Mixed other","65","19","103","0.3","74","27","105","1.3"
"White","63","17","102","-0.4","71","22","104","0.3"
"White British","64","17","102","-0.5","72","23","104","0.2"
"White Irish","72","27","104","1.7","82","36","107","2.6"
"White Irish Traveller","26","3","95","-2.4","31","6","97","-1.1"
"White Gypsy/Roma","19","2","94","-1.7","23","3","95","-1.3"
"White other","54","14","101","0.8","60","19","102","1.7"
"Any other","54","11","100","0.1","62","15","102","0.9"
"Unknown","52","14","101","-0.2","58","19","103","0.7"
