"Title","Satisfaction with GP services by ethnicity"
"Location","England"
"Time period","2011/12 to 2016/17"
"Data source","NHS Outcomes Framework"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01771&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","1 September 2012"

"Time","Ethnicity","%"
"2011/12","All","88.3"
"2011/12","Asian",""
"2011/12","Bangladeshi","78.1"
"2011/12","Chinese","77.4"
"2011/12","Indian","79.0"
"2011/12","Pakistani","77.0"
"2011/12","Asian other","82.9"
"2011/12","Black",""
"2011/12","Black African","89.9"
"2011/12","Black Caribbean","88.0"
"2011/12","Black other","88.5"
"2011/12","Mixed",""
"2011/12","Mixed White/Asian","81.4"
"2011/12","Mixed White/Black African","82.4"
"2011/12","Mixed White/Black Caribbean","84.5"
"2011/12","Mixed other","84.4"
"2011/12","White",""
"2011/12","White British","89.5"
"2011/12","White Irish","90.8"
"2011/12","White Gypsy/Traveller","81.7"
"2011/12","White other","82.4"
"2011/12","Other",""
"2011/12","Arab","83.9"
"2011/12","Any other","85.1"
"2011/12","Unknown","86.1"
"2012/13","All","86.7"
"2012/13","Asian",""
"2012/13","Bangladeshi","74.9"
"2012/13","Chinese","78.0"
"2012/13","Indian","76.9"
"2012/13","Pakistani","74.7"
"2012/13","Asian other","80.5"
"2012/13","Black",""
"2012/13","Black African","88.4"
"2012/13","Black Caribbean","85.7"
"2012/13","Black other","88.1"
"2012/13","Mixed",""
"2012/13","Mixed White/Asian","81.1"
"2012/13","Mixed White/Black African","83.9"
"2012/13","Mixed White/Black Caribbean","81.1"
"2012/13","Mixed other","80.3"
"2012/13","White",""
"2012/13","White British","88.0"
"2012/13","White Irish","88.7"
"2012/13","White Gypsy/Traveller","76.5"
"2012/13","White other","81.2"
"2012/13","Other",""
"2012/13","Arab","80.9"
"2012/13","Any other","84.9"
"2012/13","Unknown","83.0"
"2013/14","All","85.7"
"2013/14","Asian",""
"2013/14","Bangladeshi","75.7"
"2013/14","Chinese","77.9"
"2013/14","Indian","76.6"
"2013/14","Pakistani","74.8"
"2013/14","Asian other","80.4"
"2013/14","Black",""
"2013/14","Black African","88.0"
"2013/14","Black Caribbean","85.4"
"2013/14","Black other","87.4"
"2013/14","Mixed",""
"2013/14","Mixed White/Asian","81.6"
"2013/14","Mixed White/Black African","86.2"
"2013/14","Mixed White/Black Caribbean","80.8"
"2013/14","Mixed other","80.9"
"2013/14","White",""
"2013/14","White British","86.8"
"2013/14","White Irish","89.3"
"2013/14","White Gypsy/Traveller","81.0"
"2013/14","White other","80.4"
"2013/14","Other",""
"2013/14","Arab","80.2"
"2013/14","Any other","84.0"
"2013/14","Unknown","82.6"
"2014/15","All","84.8"
"2014/15","Asian",""
"2014/15","Bangladeshi","73.7"
"2014/15","Chinese","77.0"
"2014/15","Indian","74.9"
"2014/15","Pakistani","72.6"
"2014/15","Asian other","78.4"
"2014/15","Black",""
"2014/15","Black African","87.1"
"2014/15","Black Caribbean","84.6"
"2014/15","Black other","86.6"
"2014/15","Mixed",""
"2014/15","Mixed White/Asian","78.4"
"2014/15","Mixed White/Black African","81.8"
"2014/15","Mixed White/Black Caribbean","78.2"
"2014/15","Mixed other","80.4"
"2014/15","White",""
"2014/15","White British","86.1"
"2014/15","White Irish","88.1"
"2014/15","White Gypsy/Traveller","71.6"
"2014/15","White other","79.2"
"2014/15","Other",""
"2014/15","Arab","78.1"
"2014/15","Any other","83.3"
"2014/15","Unknown","81.7"
"2015/16","All","85.2"
"2015/16","Asian",""
"2015/16","Bangladeshi","73.1"
"2015/16","Chinese","77.9"
"2015/16","Indian","76.4"
"2015/16","Pakistani","73.8"
"2015/16","Asian other","80.7"
"2015/16","Black",""
"2015/16","Black African","87.5"
"2015/16","Black Caribbean","84.9"
"2015/16","Black other","86.7"
"2015/16","Mixed",""
"2015/16","Mixed White/Asian","80.8"
"2015/16","Mixed White/Black African","79.8"
"2015/16","Mixed White/Black Caribbean","81.3"
"2015/16","Mixed other","79.2"
"2015/16","White",""
"2015/16","White British","86.6"
"2015/16","White Irish","88.8"
"2015/16","White Gypsy/Traveller","72.2"
"2015/16","White other","79.5"
"2015/16","Other",""
"2015/16","Arab","83.4"
"2015/16","Any other","83.3"
"2015/16","Unknown","82.2"
"2016/17","All","84.8"
"2016/17","Asian",""
"2016/17","Bangladeshi","73.7"
"2016/17","Chinese","75.8"
"2016/17","Indian","76.0"
"2016/17","Pakistani","72.3"
"2016/17","Asian other","80.2"
"2016/17","Black",""
"2016/17","Black African","87.7"
"2016/17","Black Caribbean","84.5"
"2016/17","Black other","87.1"
"2016/17","Mixed",""
"2016/17","Mixed White/Asian","80.7"
"2016/17","Mixed White/Black African","85.6"
"2016/17","Mixed White/Black Caribbean","80.2"
"2016/17","Mixed other","79.9"
"2016/17","White",""
"2016/17","White British","86.2"
"2016/17","White Irish","88.8"
"2016/17","White Gypsy/Traveller","75.6"
"2016/17","White other","78.8"
"2016/17","Other",""
"2016/17","Arab","79.1"
"2016/17","Any other","82.5"
"2016/17","Unknown","83.6"
