"","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17"
"Ethnicity","%","%","%","%","%","%"
"All","88.3","86.7","85.7","84.8","85.2","84.8"
"Asian","","","","","",""
"Bangladeshi","78.1","74.9","75.7","73.7","73.1","73.7"
"Chinese","77.4","78.0","77.9","77.0","77.9","75.8"
"Indian","79.0","76.9","76.6","74.9","76.4","76.0"
"Pakistani","77.0","74.7","74.8","72.6","73.8","72.3"
"Asian other","82.9","80.5","80.4","78.4","80.7","80.2"
"Black","","","","","",""
"Black African","89.9","88.4","88.0","87.1","87.5","87.7"
"Black Caribbean","88.0","85.7","85.4","84.6","84.9","84.5"
"Black other","88.5","88.1","87.4","86.6","86.7","87.1"
"Mixed","","","","","",""
"Mixed White/Asian","81.4","81.1","81.6","78.4","80.8","80.7"
"Mixed White/Black African","82.4","83.9","86.2","81.8","79.8","85.6"
"Mixed White/Black Caribbean","84.5","81.1","80.8","78.2","81.3","80.2"
"Mixed other","84.4","80.3","80.9","80.4","79.2","79.9"
"White","","","","","",""
"White British","89.5","88.0","86.8","86.1","86.6","86.2"
"White Irish","90.8","88.7","89.3","88.1","88.8","88.8"
"White Gypsy/Traveller","81.7","76.5","81.0","71.6","72.2","75.6"
"White other","82.4","81.2","80.4","79.2","79.5","78.8"
"Other","","","","","",""
"Arab","83.9","80.9","80.2","78.1","83.4","79.1"
"Any other","85.1","84.9","84.0","83.3","83.3","82.5"
"Unknown","86.1","83.0","82.6","81.7","82.2","83.6"
