"Title","Patient experience of primary care - GP services"
"Location","England"
"Time period","2011/12 to 2016/17"
"Data source","NHS Digital"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01771&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-04"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value type","Denominator","Numerator","Lower bound","Upper bound","Unweighted Respondents","Note"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","All","ONS 18+1","England","84.8","%","794943.5","673978","84.7","84.9","794417",""
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","All","ONS 18+1","England","85.2","%","819492.2","698224.5","85.1","85.3","818845",""
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","All","ONS 18+1","England","84.8","%","841218.7","713546.9","84.7","84.9","839990",""
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","All","ONS 18+1","England","85.7","%","883852","757456.1","85.6","85.8","",""
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","All","ONS 18+1","England","86.7","%","948507.5","822728.3","86.6","86.8","",""
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","All","ONS 18+1","England","88.3","%","1009576.2","891213.9","88.2","88.4","",""
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Black African","ONS 18+1","England","87.7","%","12652.8","11097.4","","","11222","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Asian other","ONS 18+1","England","80.2","%","12725.7","10205.7","","","11569","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Black other","ONS 18+1","England","87.1","%","3444.5","3001.4","","","3424","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Any other ethnic group","ONS 18+1","England","82.5","%","19561.3","16138.9","","","18280","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Mixed other","ONS 18+1","England","79.9","%","2804.6","2241.4","","","2171","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","White other","ONS 18+1","England","78.8","%","51735.1","40780.8","","","39923","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Arab","ONS 18+1","England","79.1","%","2126.7","1682.1","","","1703","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Bangladeshi","ONS 18+1","England","73.7","%","5219.9","3847.3","","","3983","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Black Caribbean","ONS 18+1","England","84.5","%","6100.5","5153.2","","","6907","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Chinese","ONS 18+1","England","75.8","%","5755.3","4362","","","4407","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","White British","ONS 18+1","England","86.2","%","612548","527962","","","629857","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","White Gypsy or Irish Traveller","ONS 18+1","England","75.6","%","294.3","222.5","","","222","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Indian","ONS 18+1","England","76","%","20096","15264.7","","","20779","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","White Irish","ONS 18+1","England","88.8","%","6534.2","5802.7","","","7922","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Pakistani","ONS 18+1","England","72.3","%","13423.2","9704.3","","","12303","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Mixed White/Asian","ONS 18+1","England","80.7","%","2595.4","2093.5","","","1879","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Mixed White/Black African","ONS 18+1","England","85.6","%","1442.5","1234.8","","","1149","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Mixed White/Black Caribbean","ONS 18+1","England","80.2","%","2630.5","2109.9","","","1925","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Unknown","ONS 18+1","England","83.6","%","13253.1","11073.4","","","14792","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Black African","ONS 18+1","England","87.5","%","13132.5","11491.5","","","12030","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Asian other","ONS 18+1","England","80.7","%","12315.9","9941.9","","","11785","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Black other","ONS 18+1","England","86.7","%","3135.3","2716.9","","","3297","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Any other ethnic group","ONS 18+1","England","83.3","%","16211.3","13505.7","","","15839","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Mixed other","ONS 18+1","England","79.2","%","2485.3","1967.7","","","2010","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","White other","ONS 18+1","England","79.5","%","50122.3","39869.7","","","40139","No figures to report for upper and lower bounds"
