"Title","EBacc entry by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"New grouping","Ethnicity","%","Pupils"
"Non-FSM Boys","All","37","238,526"
"Non-FSM Boys","Asian","43","21,835"
"Non-FSM Boys","Bangladeshi","41","2,972"
"Non-FSM Boys","Indian","51","6,782"
"Non-FSM Boys","Pakistani","35","8,163"
"Non-FSM Boys","Asian other","48","3,918"
"Non-FSM Boys","Black","38","10,594"
"Non-FSM Boys","Black African","42","6,594"
"Non-FSM Boys","Black Caribbean","31","2,710"
"Non-FSM Boys","Black other","34","1,290"
"Non-FSM Boys","Chinese","57","966"
"Non-FSM Boys","Mixed","41","9,414"
"Non-FSM Boys","Mixed White/Asian","48","2,180"
"Non-FSM Boys","Mixed White/Black African","40","1,079"
"Non-FSM Boys","Mixed White/Black Caribbean","31","2,798"
"Non-FSM Boys","Mixed other","44","3,357"
"Non-FSM Boys","White","36","190,070"
"Non-FSM Boys","White British","35","177,753"
"Non-FSM Boys","White Irish","47","768"
"Non-FSM Boys","White Irish Traveller","12","26"
"Non-FSM Boys","White Gypsy/Roma","5","377"
"Non-FSM Boys","White other","42","11,146"
"Non-FSM Boys","Other","46","3,182"
"Non-FSM Boys","Unknown","31","2,465"
"Non-FSM Girls","All","48","229,635"
"Non-FSM Girls","Asian","56","20,365"
"Non-FSM Girls","Bangladeshi","55","2,886"
"Non-FSM Girls","Indian","64","6,222"
"Non-FSM Girls","Pakistani","48","7,735"
"Non-FSM Girls","Asian other","63","3,522"
"Non-FSM Girls","Black","53","10,786"
"Non-FSM Girls","Black African","56","6,669"
"Non-FSM Girls","Black Caribbean","47","2,817"
"Non-FSM Girls","Black other","50","1,300"
"Non-FSM Girls","Chinese","70","930"
"Non-FSM Girls","Mixed","51","9,214"
"Non-FSM Girls","Mixed White/Asian","59","2,177"
"Non-FSM Girls","Mixed White/Black African","50","1,079"
"Non-FSM Girls","Mixed White/Black Caribbean","42","2,742"
"Non-FSM Girls","Mixed other","54","3,216"
"Non-FSM Girls","White","46","183,098"
"Non-FSM Girls","White British","46","171,125"
"Non-FSM Girls","White Irish","59","793"
"Non-FSM Girls","White Irish Traveller","22","23"
"Non-FSM Girls","White Gypsy/Roma","6","400"
"Non-FSM Girls","White other","52","10,757"
"Non-FSM Girls","Other","57","2,913"
"Non-FSM Girls","Unknown","43","2,329"
"FSM Boys","All","19","37,080"
"FSM Boys","Asian","31","4,724"
"FSM Boys","Bangladeshi","39","1,267"
"FSM Boys","Indian","34","539"
"FSM Boys","Pakistani","24","2,396"
"FSM Boys","Asian other","38","522"
"FSM Boys","Black","28","3,317"
"FSM Boys","Black African","32","2,075"
"FSM Boys","Black Caribbean","20","838"
"FSM Boys","Black other","24","404"
"FSM Boys","Chinese","45","67"
"FSM Boys","Mixed","22","2,121"
"FSM Boys","Mixed White/Asian","22","362"
"FSM Boys","Mixed White/Black African","26","275"
"FSM Boys","Mixed White/Black Caribbean","16","816"
"FSM Boys","Mixed other","28","668"
"FSM Boys","White","15","25,284"
"FSM Boys","White British","14","23,654"
"FSM Boys","White Irish","25","115"
"FSM Boys","White Irish Traveller","!","41"
"FSM Boys","White Gypsy/Roma","!","157"
"FSM Boys","White other","32","1,317"
"FSM Boys","Other","37","1,060"
"FSM Boys","Unknown","16","507"
"FSM Girls","All","27","35,448"
"FSM Girls","Asian","42","4,294"
"FSM Girls","Bangladeshi","45","1,194"
"FSM Girls","Indian","48","503"
"FSM Girls","Pakistani","38","2,140"
"FSM Girls","Asian other","46","457"
"FSM Girls","Black","42","3,227"
"FSM Girls","Black African","47","2,011"
"FSM Girls","Black Caribbean","32","851"
"FSM Girls","Black other","38","365"
"FSM Girls","Chinese","67","63"
"FSM Girls","Mixed","31","2,119"
"FSM Girls","Mixed White/Asian","33","370"
"FSM Girls","Mixed White/Black African","39","254"
"FSM Girls","Mixed White/Black Caribbean","25","804"
"FSM Girls","Mixed other","35","691"
"FSM Girls","White","21","24,311"
"FSM Girls","White British","20","22,784"
"FSM Girls","White Irish","24","98"
"FSM Girls","White Irish Traveller","!","32"
"FSM Girls","White Gypsy/Roma","!","173"
"FSM Girls","White other","39","1,224"
"FSM Girls","Other","48","964"
"FSM Girls","Unknown","26","470"
