"Title","EBacc entry by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Ethnicity","%","Pupils"
"All","40","540,689  "
"Asian","47","51,218"
"Bangladeshi","46","8,319"
"Indian","56","14,046"
"Pakistani","39","20,434"
"Asian other","53","8,419"
"Black","43","27,924"
"Black African","47","17,349"
"Black Caribbean","36","7,216"
"Black other","40","3,359"
"Chinese","63","2,026"
"Mixed","42","22,868"
"Mixed White/Asian","50","5,089"
"Mixed White/Black African","42","2,687"
"Mixed White/Black Caribbean","33","7,160"
"Mixed other","46","7,932"
"White","38","422,763"
"White British","38","395,316"
"White Irish","50","1,774"
"White Irish Traveller","12","122"
"White Gypsy/Roma","5","1,107"
"White other","45","24,444"
"Other","49","8,119"
"Unknown","34","5,771"
