"Title","EBacc entry by ethnicity, special education needs (SEN) and gender"
"Location","England"
"Time period","2015 /16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","SEN","All","Boys","Girls"
"All","All SEN","12","10","15"
"All","No identified SEN","45","40","49"
"All","SEN Support","15","13","18"
"All","SEN with a statement or EHC plan","4","4","4"
"Asian","All SEN","16","13","19"
"Asian","No identified SEN","51","45","57"
"Asian","SEN Support","19","16","23"
"Asian","SEN with a statement or EHC plan","6","5","6"
"Black","All SEN","17","13","22"
"Black","No identified SEN","48","41","54"
"Black","SEN Support","20","!","!"
"Black","SEN with a statement or EHC plan","5","!","!"
"Chinese","All SEN","21","18","25"
"Chinese","No identified SEN","66","59","72"
"Chinese","SEN Support","21","!","!"
"Chinese","SEN with a statement or EHC plan","20","!","!"
"Mixed","All SEN","15","13","18"
"Mixed","No identified SEN","47","43","51"
"Mixed","SEN Support","18","16","20"
"Mixed","SEN with a statement or EHC plan","5","5","5"
"White","All SEN","11","9","14"
"White","No identified SEN","43","39","47"
"White","SEN Support","14","12","16"
"White","SEN with a statement or EHC plan","4","4","4"
