"Title","Satisfaction with GP out-of-hours services by ethnicity"
"Location","England"
"Time period","2011/12 to 2014/15"
"Data source","Public Health Outcomes Framework"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01772&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","September 2012"

"Time","Ethnicity","%"
"2011/12","All","70.9"
"2011/12","Asian",""
"2011/12","Bangladeshi","65.0"
"2011/12","Chinese","51.8"
"2011/12","Indian","60.2"
"2011/12","Pakistani","63.7"
"2011/12","Asian other","62.9"
"2011/12","Black",""
"2011/12","Black African","69.3"
"2011/12","Black Caribbean","71.3"
"2011/12","Black other","66.8"
"2011/12","Mixed",""
"2011/12","Mixed White/Asian","61.7"
"2011/12","Mixed White/Black African","58.2"
"2011/12","Mixed White/Black Caribbean","77.7"
"2011/12","Mixed other","67.5"
"2011/12","White",""
"2011/12","White British","72.3"
"2011/12","White Irish","73.6"
"2011/12","White Gypsy/Traveller","66.0"
"2011/12","White other","65.1"
"2011/12","Other",""
"2011/12","Arab","67.7"
"2011/12","Any other","69.0"
"2011/12","Unknown","66.3"
"2012/13","All","70.2"
"2012/13","Asian",""
"2012/13","Bangladeshi","63.8"
"2012/13","Chinese","56.8"
"2012/13","Indian","59.6"
"2012/13","Pakistani","61.8"
"2012/13","Asian other","65.2"
"2012/13","Black",""
"2012/13","Black African","67.6"
"2012/13","Black Caribbean","65.3"
"2012/13","Black other","70.6"
"2012/13","Mixed",""
"2012/13","Mixed White/Asian","60.1"
"2012/13","Mixed White/Black African","64.2"
"2012/13","Mixed White/Black Caribbean","69.7"
"2012/13","Mixed other","67.4"
"2012/13","White",""
"2012/13","White British","71.7"
"2012/13","White Irish","68.4"
"2012/13","White Gypsy/Traveller","59.6"
"2012/13","White other","63.3"
"2012/13","Other",""
"2012/13","Arab","63.2"
"2012/13","Any other","71.1"
"2012/13","Unknown","65.2"
"2013/14","All","66.2"
"2013/14","Asian",""
"2013/14","Bangladeshi","66.3"
"2013/14","Chinese","47.1"
"2013/14","Indian","58.4"
"2013/14","Pakistani","61.7"
"2013/14","Asian other","60.6"
"2013/14","Black",""
"2013/14","Black African","68.8"
"2013/14","Black Caribbean","65.7"
"2013/14","Black other","63.2"
"2013/14","Mixed",""
"2013/14","Mixed White/Asian","61.3"
"2013/14","Mixed White/Black African","52.5"
"2013/14","Mixed White/Black Caribbean","64.3"
"2013/14","Mixed other","53.3"
"2013/14","White",""
"2013/14","White British","67.2"
"2013/14","White Irish","68.5"
"2013/14","White Gypsy/Traveller","67.2"
"2013/14","White other","61.4"
"2013/14","Other",""
"2013/14","Arab","65.6"
"2013/14","Any other","67.9"
"2013/14","Unknown","58.0"
"2014/15","All","68.6"
"2014/15","Asian",""
"2014/15","Bangladeshi","59.1"
"2014/15","Chinese","59.0"
"2014/15","Indian","58.2"
"2014/15","Pakistani","65.3"
"2014/15","Asian other","61.2"
"2014/15","Black",""
"2014/15","Black African","73.3"
"2014/15","Black Caribbean","70.1"
"2014/15","Black other","69.2"
"2014/15","Mixed",""
"2014/15","Mixed White/Asian","68.2"
"2014/15","Mixed White/Black African","67.3"
"2014/15","Mixed White/Black Caribbean","68.1"
"2014/15","Mixed other","65.9"
"2014/15","White",""
"2014/15","White British","69.7"
"2014/15","White Irish","71.3"
"2014/15","White Gypsy/Traveller","75.2"
"2014/15","White other","64.0"
"2014/15","Other",""
"2014/15","Arab","62.7"
"2014/15","Any other","69.7"
"2014/15","Unknown","59.9"
