"Title","Patient satisfaction with GP out-of-hours services"
"Location","England"
"Time period","2011/12 to 2014/15"
"Data source","NHS Digital"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01772&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","August 2015"
"
"
Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Value,Value_type,Denominator,Numerator,Lower CI,Upper CI,Unweighted Respondents,Note
Patient Satisfaction with GP out-of-hours services,2014/15,July 2014 to March 2015,All,ONS 18+1,England,68.6,%,"111,089.80","76,209.20",68.2,69,"96,698",
Patient Satisfaction with GP out-of-hours services,2013/14,July 2013 to March 2014,All,ONS 18+1,England,66.2,%,"119,307.30","79,000.40",65.8,66.6,,
Patient Satisfaction with GP out-of-hours services,2012/13,July 2012 to March 2013,All,ONS 18+1,England,70.2,%,"124,268.90","87,251.10",69.9,70.6,,
Patient Satisfaction with GP out-of-hours services,2011/12,July 2011 to March 2012,All,ONS 18+1,England,70.9,%,"126,451.50","89,613.50",70.5,71.2,,
Patient Satisfaction with GP out-of-hours services,2014/15,July 2014 to March 2015,African,ONS 18+1,England,73.3,%,"1,446.30","1,059.90",,,"1,151",No confidence intervals to report
Patient Satisfaction with GP out-of-hours services,2014/15,July 2014 to March 2015,Any other Asian background,ONS 18+1,England,61.2,%,"1,441.40",882.7,,,"1,178",No confidence intervals to report
Patient Satisfaction with GP out-of-hours services,2014/15,July 2014 to March 2015,Any other Black / African / Caribbean background,ONS 18+1,England,69.2,%,343.1,237.6,,,331,No confidence intervals to report
Patient Satisfaction with GP out-of-hours services,2014/15,July 2014 to March 2015,Any other Mixed / multiple ethnic background,ONS 18+1,England,65.9,%,326.8,215.4,,,251,No confidence intervals to report
Patient Satisfaction with GP out-of-hours services,2014/15,July 2014 to March 2015,Any other White background,ONS 18+1,England,64,%,"6,108.70","3,907.50",,,"4,396",No confidence intervals to report
Patient Satisfaction with GP out-of-hours services,2014/15,July 2014 to March 2015,Any other ethnic group,ONS 18+1,England,69.7,%,"3,587.20","2,500.20",,,"2,967",No confidence intervals to report
Patient Satisfaction with GP out-of-hours services,2014/15,July 2014 to March 2015,Arab,ONS 18+1,England,62.7,%,307.5,192.9,,,229,No confidence intervals to report
