"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, religion of school and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Religious character","All","Boys","Girls"
"All","All state-funded mainstream schools","51","49","53"
"All","Church of England schools","52","50","53"
"All","Jewish schools","60","60","61"
"All","Muslim schools","59","58","59"
"All","No religious character","51","49","53"
"All","Other Christian faith schools","51","50","52"
"All","Roman Catholic schools","53","51","55"
"All","Sikh school","58","57","59"
"Asian","All state-funded mainstream schools","53","51","55"
"Asian","Church of England schools","54","53","56"
"Asian","Jewish schools","60","58","61"
"Asian","Muslim schools","59","58","60"
"Asian","No religious character","53","51","55"
"Asian","Other Christian faith schools","60","59","61"
"Asian","Roman Catholic schools","54","52","57"
"Asian","Sikh school","!","!","!"
"Black","All state-funded mainstream schools","50","47","52"
"Black","Church of England schools","51","48","53"
"Black","Jewish schools","56","58","53"
"Black","Muslim schools","55","56","54"
"Black","No religious character","49","46","51"
"Black","Other Christian faith schools","50","47","53"
"Black","Roman Catholic schools","52","50","55"
"Black","Sikh school","!","!","!"
"Chinese","All state-funded mainstream schools","63","61","65"
"Chinese","Church of England schools","65","64","66"
"Chinese","Jewish schools","!","!","!"
"Chinese","Muslim schools","N/A","N/A","N/A"
"Chinese","No religious character","63","61","65"
"Chinese","Other Christian faith schools","64","60","69"
"Chinese","Roman Catholic schools","61","58","63"
"Chinese","Sikh school","!","!","!"
"Mixed","All state-funded mainstream schools","51","49","53"
"Mixed","Church of England schools","52","51","53"
"Mixed","Jewish schools","61","58","63"
"Mixed","Muslim schools","49","!","!"
"Mixed","No religious character","51","49","53"
"Mixed","Other Christian faith schools","54","54","53"
"Mixed","Roman Catholic schools","53","51","55"
"Mixed","Sikh school","!","!","!"
"White","All state-funded mainstream schools","51","49","53"
"White","Church of England schools","51","50","53"
"White","Jewish schools","60","59","60"
"White","Muslim schools","!","N/A","!"
"White","No religious character","50","48","52"
"White","Other Christian faith schools","50","48","51"
"White","Roman Catholic schools","52","51","54"
"White","Sikh school","!","!","!"
