"Title","16 to 64 year olds who are economically inactive and not in full-time education, by highest qualification and ethnicity"
"Location","Great Britain"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Highest qualification held","Ethnicity","%"
"Level 4 and above","Asian","14%"
"Level 4 and above","Black","10%"
"Level 4 and above","Mixed","9%"
"Level 4 and above","White","11%"
"Level 4 and above","Other","19%"
"Level 3","Asian","26%"
"Level 3","Black","18%"
"Level 3","Mixed","17%"
"Level 3","White","14%"
"Level 3","Other","25%"
"Level 2","Asian","29%"
"Level 2","Black","24%"
"Level 2","Mixed","28%"
"Level 2","White","21%"
"Level 2","Other","32%"
"Below level 2","Asian","33%"
"Below level 2","Black","30%"
"Below level 2","Mixed","35%"
"Below level 2","White","25%"
"Below level 2","Other","44%"
"Other qualifications","Asian","31%"
"Other qualifications","Black","27%"
"Other qualifications","Mixed","?"
"Other qualifications","White","18%"
"Other qualifications","Other","27%"
"No qualifications","Asian","58%"
"No qualifications","Black","51%"
"No qualifications","Mixed","57%"
"No qualifications","White","50%"
"No qualifications","Other","52%"
