"Title","16 to 64-year-old females who are economically inactive and not in full-time education, by highest qualification and ethnicity"
"Location","Great Britain"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Highest qualification held","Ethnicity","%"
"Level 4 and above","Asian","24%"
"Level 4 and above","Black","13%"
"Level 4 and above","Mixed","10%"
"Level 4 and above","White","14%"
"Level 4 and above","Other","28%"
"Level 3","Asian","36%"
"Level 3","Black","25%"
"Level 3","Mixed","25%"
"Level 3","White","18%"
"Level 3","Other","34%"
"Level 2","Asian","42%"
"Level 2","Black","29%"
"Level 2","Mixed","38%"
"Level 2","White","26%"
"Level 2","Other","42%"
"Below level 2","Asian","53%"
"Below level 2","Black","39%"
"Below level 2","Mixed","?"
"Below level 2","White","34%"
"Below level 2","Other","55%"
"Other qualifications","Asian","54%"
"Other qualifications","Black","39%"
"Other qualifications","Mixed","?"
"Other qualifications","White","26%"
"Other qualifications","Other","39%"
"No qualifications","Asian","78%"
"No qualifications","Black","49%"
"No qualifications","Mixed","?"
"No qualifications","White","59%"
"No qualifications","Other","70%"
