"Title","16 to 64-year-old males who are economically inactive and not in full-time education, by highest qualification and ethnicity"
"Location","Great Britain"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Highest qualification held","Ethnicity","%"
"Level 4 and above","Asian","5%"
"Level 4 and above","Black","5%"
"Level 4 and above","Mixed","7%"
"Level 4 and above","White","8%"
"Level 4 and above","Other","9%"
"Level 3","Asian","15%"
"Level 3","Black","9%"
"Level 3","Mixed","8%"
"Level 3","White","11%"
"Level 3","Other","16%"
"Level 2","Asian","16%"
"Level 2","Black","16%"
"Level 2","Mixed","17%"
"Level 2","White","15%"
"Level 2","Other","23%"
"Below level 2","Asian","13%"
"Below level 2","Black","21%"
"Below level 2","Mixed","?"
"Below level 2","White","16%"
"Below level 2","Other","?"
"Other qualifications","Asian","11%"
"Other qualifications","Black","16%"
"Other qualifications","Mixed","?"
"Other qualifications","White","13%"
"Other qualifications","Other","17%"
"No qualifications","Asian","35%"
"No qualifications","Black","53%"
"No qualifications","Mixed","?"
"No qualifications","White","40%"
"No qualifications","Other","34%"
