"Ethnicity","%","Number","All households"
"Asian","","",""
"Bangladeshi","6","5,853","103,335"
"Chinese","!","!","!"
"Indian","3","15,415","478,112"
"Pakistani","11","32,541","285,003"
"Asian other","5","12,902","240,993"
"Black","","",""
"Black African","12","49,331","415,843"
"Black Caribbean","6","16,339","266,674"
"Black other","?","?","?"
"Mixed","","",""
"Mixed White/Asian","?","?","?"
"Mixed White/Black African","12","8,653","73,586"
"Mixed White/Black Caribbean","!","!","!"
"Mixed other","?","?","?"
"White","","",""
"White British","4","736,528","18,969,280"
"White Irish","!","!","!"
"White Gypsy/Traveller","?","?","?"
"White other","8","78,668","1,006,085"
"Other","","",""
"Arab","!","!","!"
"Any other","4","8,443","199,370"
