"Title","Firefighters by ethnicity and area"
"Location","England"
"Time period","2017"
"Data source","Fire and rescue workforce and pensions statistics: England April 2016 to March 2017 second edition"
"Data source link","https://www.gov.uk/government/statistics/fire-and-rescue-workforce-and-pensions-statistics-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/10/2017"

"","Asian","","Black","","Mixed","","White","","Other inc Chinese","","Unknown",""
"","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters"
"England","0.5","171","1.4","428","1.6","507","96.1","30,328","0.4","138","N/A","4,048"
"Avon","0.0","0","0.8","5","1.2","8","97.7","648","0.3","2","N/A","42"
"Bedfordshire","?","0","?","2","?","5","?","255","?","0","N/A","165"
"Berkshire","0.5","2","0.7","3","0.9","4","97.7","431","0.2","1","N/A","0"
"Buckinghamshire","0.3","1","0.6","2","1.1","4","98.0","343","0.0","0","N/A","46"
"Cambridgeshire","0.4","2","1.7","8","0.2","1","97.7","462","0.0","0","N/A","20"
"Cheshire","0.5","3","0.5","3","0.8","5","98.2","652","0.2","1","N/A","11"
"Cleveland","0.4","2","0.4","2","0.4","2","98.4","438","0.2","1","N/A","0"
"Cornwall","0.0","0","0.4","2","1.3","7","97.9","509","0.4","2","N/A","62"
"Cumbria","0.2","1","0.2","1","0.0","0","99.6","465","0.0","0","N/A","96"
"Derbyshire","0.9","6","0.0","0","0.9","6","98.2","658","0.0","0","N/A","18"
"Devon and Somerset","0.0","0","0.0","0","0.4","7","99.5","1,560","0.1","1","N/A","111"
"Dorset and Wiltshire","0.0","0","0.5","5","1.0","9","98.4","930","0.1","1","N/A","71"
"Durham","0.9","4","0.6","3","0.9","4","97.6","455","0.0","0","N/A","19"
"East Sussex","0.0","0","0.2","1","2.2","14","97.2","615","0.5","3","N/A","25"
"Essex","?","0","?","1","?","6","?","484","?","0","N/A","614"
"Gloucestershire","0.3","1","1.3","4","1.3","4","96.8","307","0.3","1","N/A","82"
"Greater London","1.3","60","5.6","259","4.5","207","86.8","4,009","1.8","83","N/A","77"
"Greater Manchester","0.7","9","1.1","13","1.7","21","96.5","1,175","0.0","0","N/A","78"
"Hampshire","0.3","4","0.0","0","0.6","7","99.1","1,215","0.0","0","N/A","188"
"Hereford and Worcester","0.3","2","0.2","1","1.5","9","98.0","599","0.0","0","N/A","9"
"Hertfordshire","0.2","1","0.8","5","1.1","7","97.3","620","0.6","4","N/A","34"
"Humberside","0.0","0","0.4","3","1.1","8","98.5","718","0.0","0","N/A","85"
"Isle Of Wight","0.0","0","0.0","0","0.0","0","100.0","170","0.0","0","N/A","0"
"Isles of Scilly","0.0","0","0.0","0","0.0","0","?","38","0.0","0","N/A","0"
"Kent","?","1","?","2","?","5","?","839","?","0","N/A","415"
"Lancashire","0.8","8","0.4","4","0.8","8","97.7","971","0.3","3","N/A","23"
"Leicestershire","0.7","4","0.6","3","0.7","4","98.0","527","0.0","0","N/A","29"
"Lincolnshire","0.5","3","0.2","1","1.3","8","98.0","601","0.0","0","N/A","19"
"Merseyside","0.0","0","1.0","10","2.5","24","95.6","919","0.8","8","N/A","7"
"Norfolk","0.0","0","0.4","2","0.4","2","99.2","520","0.0","0","N/A","194"
"North Yorkshire","0.4","2","0.0","0","0.2","1","99.4","515","0.0","0","N/A","141"
"Northamptonshire","0.0","0","0.3","1","2.1","8","97.4","368","0.3","1","N/A","81"
"Northumberland","0.0","0","0.0","0","0.7","2","99.3","271","0.0","0","N/A","17"
"Nottinghamshire","0.6","4","0.7","5","1.8","12","96.7","651","0.1","1","N/A","43"
"Oxfordshire","0.0","0","0.2","1","0.6","3","98.9","522","0.4","2","N/A","22"
"Shropshire","0.0","0","0.5","2","0.0","0","98.9","364","0.5","2","N/A","146"
"South Yorkshire","0.2","1","0.9","6","0.9","6","97.5","628","0.5","3","N/A","6"
"Staffordshire","?","3","?","3","?","0","?","10","?","1","N/A","690"
"Suffolk","0.2","1","0.2","1","0.8","4","98.1","522","0.8","4","N/A","135"
"Surrey","0.7","4","0.3","2","1.4","8","97.6","569","0.0","0","N/A","37"
"Tyne and Wear","0.9","6","0.3","2","0.5","3","98.3","632","0.0","0","N/A","4"
"Warwickshire","1.4","4","1.0","3","1.0","3","96.3","285","0.3","1","N/A","73"
"West Midlands","1.2","16","3.8","53","2.7","37","91.7","1,276","0.6","9","N/A","19"
"West Sussex","0.0","0","0.0","0","0.6","3","99.2","508","0.2","1","N/A","93"
"West Yorkshire","1.4","16","0.4","4","1.9","21","96.2","1,074","0.2","2","N/A","1"
