"Ethnicity","Year","% of firefighters","Number of firefighters"
"Asian","2011","0.5","212"
"Asian","2012","0.5","196"
"Asian","2013","0.5","200"
"Asian","2014","0.5","176"
"Asian","2015","0.6","200"
"Asian","2016","0.6","186"
"Asian","2017","0.5","171"
"Black","2011","1.3","519"
"Black","2012","1.4","540"
"Black","2013","1.4","507"
"Black","2014","1.3","483"
"Black","2015","1.3","451"
"Black","2016","1.3","449"
"Black","2017","1.4","428"
"Mixed","2011","1.2","473"
"Mixed","2012","1.3","504"
"Mixed","2013","1.4","506"
"Mixed","2014","1.4","500"
"Mixed","2015","1.5","492"
"Mixed","2016","1.5","497"
"Mixed","2017","1.6","507"
"White","2011","96.5","37,635"
"White","2012","96.5","37,513"
"White","2013","96.3","35,931"
"White","2014","96.2","34,477"
"White","2015","96.2","32,377"
"White","2016","96.2","32,006"
"White","2017","96.1","30,328"
"Other inc Chinese","2011","0.4","174"
"Other inc Chinese","2012","0.4","137"
"Other inc Chinese","2013","0.4","150"
"Other inc Chinese","2014","0.6","200"
"Other inc Chinese","2015","0.4","132"
"Other inc Chinese","2016","0.4","138"
"Other inc Chinese","2017","0.4","138"
"Unknown","2011","N/A","4,347"
"Unknown","2012","N/A","3,172"
"Unknown","2013","N/A","3,495"
"Unknown","2014","N/A","3,630"
"Unknown","2015","N/A","4,390"
"Unknown","2016","N/A","3,339"
"Unknown","2017","N/A","4,048"
