"Title","Firefighters by ethnicity and area"
"Location","England"
"Time period","2017"
"Data source","Fire and rescue workforce and pensions statistics: England April 2016 to March 2017 second edition"
"Data source link","https://www.gov.uk/government/statistics/fire-and-rescue-workforce-and-pensions-statistics-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/10/2017"

"Ethnicity","Fire and Rescue Services","% of firefighters","Number of firefighters"
"Asian","England","0.5","171"
"Asian","Avon","0.0","0"
"Asian","Bedfordshire","?","0"
"Asian","Berkshire","0.5","2"
"Asian","Buckinghamshire","0.3","1"
"Asian","Cambridgeshire","0.4","2"
"Asian","Cheshire","0.5","3"
"Asian","Cleveland","0.4","2"
"Asian","Cornwall","0.0","0"
"Asian","Cumbria","0.2","1"
"Asian","Derbyshire","0.9","6"
"Asian","Devon and Somerset","0.0","0"
"Asian","Dorset and Wiltshire","0.0","0"
"Asian","Durham","0.9","4"
"Asian","East Sussex","0.0","0"
"Asian","Essex","?","0"
"Asian","Gloucestershire","0.3","1"
"Asian","Greater London","1.3","60"
"Asian","Greater Manchester","0.7","9"
"Asian","Hampshire","0.3","4"
"Asian","Hereford and Worcester","0.3","2"
"Asian","Hertfordshire","0.2","1"
"Asian","Humberside","0.0","0"
"Asian","Isle Of Wight","0.0","0"
"Asian","Isles of Scilly","0.0","0"
"Asian","Kent","?","1"
"Asian","Lancashire","0.8","8"
"Asian","Leicestershire","0.7","4"
"Asian","Lincolnshire","0.5","3"
"Asian","Merseyside","0.0","0"
"Asian","Norfolk","0.0","0"
"Asian","North Yorkshire","0.4","2"
"Asian","Northamptonshire","0.0","0"
"Asian","Northumberland","0.0","0"
"Asian","Nottinghamshire","0.6","4"
"Asian","Oxfordshire","0.0","0"
"Asian","Shropshire","0.0","0"
"Asian","South Yorkshire","0.2","1"
"Asian","Staffordshire","?","3"
"Asian","Suffolk","0.2","1"
"Asian","Surrey","0.7","4"
"Asian","Tyne and Wear","0.9","6"
"Asian","Warwickshire","1.4","4"
"Asian","West Midlands","1.2","16"
"Asian","West Sussex","0.0","0"
"Asian","West Yorkshire","1.4","16"
"Black","England","1.4","428"
"Black","Avon","0.8","5"
"Black","Bedfordshire","?","2"
"Black","Berkshire","0.7","3"
"Black","Buckinghamshire","0.6","2"
"Black","Cambridgeshire","1.7","8"
"Black","Cheshire","0.5","3"
"Black","Cleveland","0.4","2"
"Black","Cornwall","0.4","2"
"Black","Cumbria","0.2","1"
"Black","Derbyshire","0.0","0"
"Black","Devon and Somerset","0.0","0"
"Black","Dorset and Wiltshire","0.5","5"
"Black","Durham","0.6","3"
"Black","East Sussex","0.2","1"
"Black","Essex","?","1"
"Black","Gloucestershire","1.3","4"
"Black","Greater London","5.6","259"
"Black","Greater Manchester","1.1","13"
"Black","Hampshire","0.0","0"
"Black","Hereford and Worcester","0.2","1"
"Black","Hertfordshire","0.8","5"
"Black","Humberside","0.4","3"
"Black","Isle Of Wight","0.0","0"
"Black","Isles of Scilly","0.0","0"
"Black","Kent","?","2"
"Black","Lancashire","0.4","4"
"Black","Leicestershire","0.6","3"
"Black","Lincolnshire","0.2","1"
"Black","Merseyside","1.0","10"
"Black","Norfolk","0.4","2"
"Black","North Yorkshire","0.0","0"
"Black","Northamptonshire","0.3","1"
"Black","Northumberland","0.0","0"
"Black","Nottinghamshire","0.7","5"
"Black","Oxfordshire","0.2","1"
"Black","Shropshire","0.5","2"
"Black","South Yorkshire","0.9","6"
"Black","Staffordshire","?","3"
"Black","Suffolk","0.2","1"
"Black","Surrey","0.3","2"
"Black","Tyne and Wear","0.3","2"
"Black","Warwickshire","1.0","3"
"Black","West Midlands","3.8","53"
"Black","West Sussex","0.0","0"
"Black","West Yorkshire","0.4","4"
"Mixed","England","1.6","507"
"Mixed","Avon","1.2","8"
"Mixed","Bedfordshire","?","5"
"Mixed","Berkshire","0.9","4"
"Mixed","Buckinghamshire","1.1","4"
"Mixed","Cambridgeshire","0.2","1"
"Mixed","Cheshire","0.8","5"
"Mixed","Cleveland","0.4","2"
"Mixed","Cornwall","1.3","7"
"Mixed","Cumbria","0.0","0"
"Mixed","Derbyshire","0.9","6"
"Mixed","Devon and Somerset","0.4","7"
"Mixed","Dorset and Wiltshire","1.0","9"
"Mixed","Durham","0.9","4"
"Mixed","East Sussex","2.2","14"
"Mixed","Essex","?","6"
"Mixed","Gloucestershire","1.3","4"
"Mixed","Greater London","4.5","207"
"Mixed","Greater Manchester","1.7","21"
"Mixed","Hampshire","0.6","7"
"Mixed","Hereford and Worcester","1.5","9"
"Mixed","Hertfordshire","1.1","7"
"Mixed","Humberside","1.1","8"
"Mixed","Isle Of Wight","0.0","0"
