"Title","Fire and rescue service workforce by ethnicity and type of role"
"Location","England"
"Time period","2017"
"Data source","Fire and rescue workforce and pensions statistics: England April 2016 to March 2017 second edition"
"Data source link","https://www.gov.uk/government/statistics/fire-and-rescue-workforce-and-pensions-statistics-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/10/2017"

"Type","Ethnicity","% of employees","Number of employees"
"Fire Control","Asian","0.3","3"
"Fire Control","Black","0.9","9"
"Fire Control","Mixed","2.1","22"
"Fire Control","White","96.7","995"
"Fire Control","Other inc Chinese","0.0","0"
"Fire Control","Unknown","N/A","95"
"Support Staff","Asian","2.7","182"
"Support Staff","Black","2.6","173"
"Support Staff","Mixed","1.3","89"
"Support Staff","White","92.7","6,247"
"Support Staff","Other inc Chinese","0.7","47"
"Support Staff","Unknown","N/A","879"
"Total Staff","Asian","0.9","356"
"Total Staff","Black","1.6","610"
"Total Staff","Mixed","1.6","618"
"Total Staff","White","95.5","37,570"
"Total Staff","Other inc Chinese","0.5","185"
"Total Staff","Unknown","N/A","5,022"
"Firefighters","Asian","0.5","171"
"Firefighters","Black","1.4","428"
"Firefighters","Mixed","1.6","507"
"Firefighters","White","96.1","30,328"
"Firefighters","Other inc Chinese","0.4","138"
"Firefighters","Unknown","N/A","4,048"
