"Title","Households in fuel poverty by ethnicity over time"
"Location","England"
"Time period","2003 to 2016"
"Data source","Fuel poverty statistics"
"Data source link","https://www.gov.uk/government/collections/fuel-poverty-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/06/2018"

"","All","White","Other"
"","%","%","%"
"2003","12","11","15"
"2004","12","11","16"
"2005","11","11","17"
"2006","11","10","18"
"2007","11","11","16"
"2008","12","11","18"
"2009","12","11","19"
"2010","11","11","19"
"2011","11","10","17"
"2012","11","10","18"
"2013","10","10","18"
"2014","10","10","17"
"2015","11","10","16"
"2016","11","10","17"
