"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Upper bound","Lower bound","Note","Sample size"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2005/06","Year","White","White & other","England","43","43.8","42.2","Taking Part Survey","24,038"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2005/06","Year","Other","White & other","England","35.4","37.2","33.6","Taking Part Survey","4,047"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2005/06","Year","All","White & other","England","42.3","43","41.5","Taking Part Survey","28,117"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2006/07","Year","White","White & other","England","42.3","43.2","41.4","Taking Part Survey","21,317"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2006/07","Year","Other","White & other","England","33.6","35.9","31.3","Taking Part Survey","2,829"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2006/07","Year","All","White & other","England","41.5","42.3","40.6","Taking Part Survey","24,174"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2007/08","Year","White","White & other","England","44","44.8","43.2","Taking Part Survey","22,794"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2007/08","Year","Other","White & other","England","39.3","41.6","37","Taking Part Survey","2,880"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2007/08","Year","All","White & other","England","43.5","44.3","42.8","Taking Part Survey","25,720"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2008/09","Year","White","White & other","England","44","45.2","42.8","Taking Part Survey","12,979"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2008/09","Year","Other","White & other","England","36.9","40.2","33.6","Taking Part Survey","1,451"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2008/09","Year","All","White & other","England","43.4","44.4","42.4","Taking Part Survey","14,452"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2009/10","Year","White","White & other","England","46.7","48.8","44.5","Taking Part Survey","5,455"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2009/10","Year","Other","White & other","England","40.1","46.8","33.3","Taking Part Survey","630"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2009/10","Year","All","White & other","England","46","47.9","44","Taking Part Survey","6,097"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2010/11","Year","White","White & other","England","47.3","48.4","46.3","Taking Part Survey","12,617"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2010/11","Year","Other","White & other","England","37.7","40.8","34.6","Taking Part Survey","1,457"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2010/11","Year","All","White & other","England","46.3","47.3","45.3","Taking Part Survey","14,102"
"Proportion of adults (16+) who have visited a museum or gallery in the last 12 months","2011/12","Year","White","White & other","England","49.4","50.7","48.1","Taking Part Survey","8,301"
