"Title","Drug dependency amongst adults"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014 http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"

"Measure","Time","Time_type","Ethnicity","Gender","Drug","Value","Denominator"
"Drug dependency","2014","Year","White - British","All","Any drug dependence ","3","5,889"
"Drug dependency","2014","Year","White - Other","All","Any drug dependence ","2.1","382"
"Drug dependency","2014","Year","Black","All","Any drug dependence ","7.5","176"
"Drug dependency","2014","Year","Asian","All","Any drug dependence ","2.4","322"
"Drug dependency","2014","Year","Mixed/Other","All","Any drug dependence ","1.9","133"
"Drug dependency","2014","Year","White - British","Men","Any drug dependence ","4","2,395"
"Drug dependency","2014","Year","White - Other","Men","Any drug dependence ","2.1","142"
"Drug dependency","2014","Year","Black","Men","Any drug dependence ","11.5","60"
"Drug dependency","2014","Year","Asian","Men","Any drug dependence ","4.4","137"
"Drug dependency","2014","Year","Mixed/Other","Men","Any drug dependence ","2.7","48"
"Drug dependency","2014","Year","White - British","Women","Any drug dependence ","1.9","3,494"
"Drug dependency","2014","Year","White - Other","Women","Any drug dependence ","2.1","240"
"Drug dependency","2014","Year","Black","Women","Any drug dependence ","4.5","116"
"Drug dependency","2014","Year","Asian","Women","Any drug dependence ","0.1","185"
"Drug dependency","2014","Year","Mixed/Other","Women","Any drug dependence ","1.1","85"
