Title, Drug dependency in adults
Time period, Drug dependency in adults
Location, 2014
Source, Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing England 2014
Department, NHS Digital
Last update, 2014

Measure,Time,Time_type,Geography,Ethnicity,Ethnicity_type,Sex,Sex_type,Drug,Drug_type,Value,Value type,Value Note,Lower CI,Upper CI,unweighted sample size
Drug dependency,2014,Year,England,White - British,5,All,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,2.2,%,,,,"5,889"
Drug dependency,2014,Year,England,White - Other,5,All,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,1.4,%,,,,382
Drug dependency,2014,Year,England,Black,5,All,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,5.6,%,,,,176
Drug dependency,2014,Year,England,Asian,5,All,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,1.4,%,,,,322
Drug dependency,2014,Year,England,Mixed/Other,5,All,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,1.9,%,,,,133
Drug dependency,2014,Year,England,White - British,5,All,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,0.8,%,,,,"5,889"
Drug dependency,2014,Year,England,White - Other,5,All,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,0.6,%,,,,382
Drug dependency,2014,Year,England,Black,5,All,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,1.9,%,,,,176
Drug dependency,2014,Year,England,Asian,5,All,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,1.1,%,,,,322
Drug dependency,2014,Year,England,Mixed/Other,5,All,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,,%,no observations (zero value),,,133
Drug dependency,2014,Year,England,White - British,5,All,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,3,%,,2.40%,3.60%,"5,889"
Drug dependency,2014,Year,England,White - Other,5,All,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,2.1,%,,0.90%,4.70%,382
Drug dependency,2014,Year,England,Black,5,All,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,7.5,%,,4.40%,12.60%,176
Drug dependency,2014,Year,England,Asian,5,All,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,2.4,%,,1.10%,5.10%,322
Drug dependency,2014,Year,England,Mixed/Other,5,All,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,1.9,%,,0.50%,6.10%,133
Drug dependency,2014,Year,England,White - British,5,Men,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,2.9,%,,,,"2,395"
Drug dependency,2014,Year,England,White - Other,5,Men,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,1.2,%,,,,142
Drug dependency,2014,Year,England,Black,5,Men,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,11.5,%,,,,60
Drug dependency,2014,Year,England,Asian,5,Men,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,2.5,%,,,,137
Drug dependency,2014,Year,England,Mixed/Other,5,Men,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,2.7,%,,,,48
Drug dependency,2014,Year,England,White - British,5,Men,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,1.1,%,,,,"2,395"
Drug dependency,2014,Year,England,White - Other,5,Men,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,0.9,%,,,,142
Drug dependency,2014,Year,England,Black,5,Men,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,,%,no observations (zero value),,,60
Drug dependency,2014,Year,England,Asian,5,Men,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,1.9,%,,,,137
Drug dependency,2014,Year,England,Mixed/Other,5,Men,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,,%,no observations (zero value),,,48
Drug dependency,2014,Year,England,White - British,5,Men,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,4,%,,3.10%,5.20%,"2,395"
Drug dependency,2014,Year,England,White - Other,5,Men,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,2.1,%,,0.60%,7.20%,142
Drug dependency,2014,Year,England,Black,5,Men,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,11.5,%,,5.60%,22.30%,60
Drug dependency,2014,Year,England,Asian,5,Men,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,4.4,%,,2.00%,9.30%,137
Drug dependency,2014,Year,England,Mixed/Other,5,Men,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,2.7,%,,0.60%,11.70%,48
Drug dependency,2014,Year,England,White - British,5,Women,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,1.5,%,,,,"3,494"
Drug dependency,2014,Year,England,White - Other,5,Women,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,1.7,%,,,,240
Drug dependency,2014,Year,England,Black,5,Women,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,1.1,%,,,,116
Drug dependency,2014,Year,England,Asian,5,Women,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,,%,no observations (zero value),,,185
Drug dependency,2014,Year,England,Mixed/Other,5,Women,Men/Women/All,Cannabis only ,Canabis only/other drug/any drug drug dependence ,1.1,%,,,,85
Drug dependency,2014,Year,England,White - British,5,Women,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,0.5,%,,,,"3,494"
Drug dependency,2014,Year,England,White - Other,5,Women,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,0.4,%,,,,240
Drug dependency,2014,Year,England,Black,5,Women,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,3.3,%,,,,116
Drug dependency,2014,Year,England,Asian,5,Women,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,0.1,%,,,,185
Drug dependency,2014,Year,England,Mixed/Other,5,Women,Men/Women/All,Other drug(s),Canabis only/other drug/any drug drug dependence ,,%,no observations (zero value),,,85
Drug dependency,2014,Year,England,White - British,5,Women,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,1.9,%,,1.50%,2.50%,"3,494"
Drug dependency,2014,Year,England,White - Other,5,Women,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,2.1,%,,0.70%,5.80%,240
Drug dependency,2014,Year,England,Black,5,Women,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,4.5,%,,1.60%,11.70%,116
Drug dependency,2014,Year,England,Asian,5,Women,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,0.1,%,,0.00%,0.90%,185
Drug dependency,2014,Year,England,Mixed/Other,5,Women,Men/Women/All,Any drug dependence ,Canabis only/other drug/any drug drug dependence ,1.1,%,,0.10%,7.30%,85
