"Title","Customer satisfaction with DWP frontline services by ethnicity"
"Location","England, Wales and Scotland"
"Time period","2014/15 to 2015/16"
"Data source","Equality Information (Customer Data) https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/539387/dwp-equality-information-report-customer-data-2016.pdf"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"

"Ethnicity","Ethnicity_type","Year","Year_type","Measure","Measure_type","Value","Value_type","Denominator","Numerator","Value2","Value_type2","Denominator2","Numerator2"
"White British","ONS 5+2","2014/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","83","Percentage","12326","10207","16","Percentage","12326","1950"
"White Other","ONS 5+2","2014/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","82","Percentage","365","299","15","Percentage","365","56"
"Asian","ONS 5+2","2014/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","84","Percentage","793","665","15","Percentage","793","120"
"Black","ONS 5+2","2014/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","75","Percentage","736","555","22","Percentage","736","163"
"Mixed","ONS 5+2","2014/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","82","Percentage","302","249","17","Percentage","302","52"
"Other","ONS 5+2","2014/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","73","Percentage","222","162","23","Percentage","222","51"
"Unreported","ONS 5+2","2014/15","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","-","Percentage","-","-","-","Percentage","-","-"
"White British","ONS 5+2","2015/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","85","Percentage","12997","11011","14","Percentage","12997","1796"
"White Other","ONS 5+2","2015/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","79","Percentage","340","267","18","Percentage","340","62"
"Asian","ONS 5+2","2015/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","85","Percentage","766","650","14","Percentage","766","106"
"Black","ONS 5+2","2015/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","83","Percentage","750","623","15","Percentage","750","113"
"Mixed","ONS 5+2","2015/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","82","Percentage","388","317","16","Percentage","388","62"
"Other","ONS 5+2","2015/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","74","Percentage","219","163","21","Percentage","219","47"
"Unreported","ONS 5+2","2015/16","Financial year","Percentage of customers who are either 'fairly' or 'very' satisfied","Customer satisfaction (5 category)","14","Percentage","168","102","27","Percentage","168","45"
