"Title","Households under-occupying their home by ethnicity"
"Location","England"
"Time period","2013/14, 2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Value","Denominator","Numerator","Sample size"
"English / Welsh / Scottish / Northern Irish / British","40","18,827,771","7,506,473","33,719"
"Irish","41","202,418","82,525","344"
"Gypsy or Irish Traveller","?","?","?","?"
"Any Other White background","18","1,052,401","193,299","1,601"
"White and Black Caribbean","15","98,107","15,083","167"
"White and Black African","12","75,210","9,084","135"
"White and Asian","42","64,126","26,641","103"
"Any other Mixed / multiple ethnic background","21","43,212","9,246","82"
"Indian","29","486,845","140,390","738"
"Pakistani","18","327,347","59,415","537"
"Bangladeshi","13","108,241","14,046","206"
"Chinese","17","132,162","22,654","199"
"Any other Asian background","16","213,555","34,988","319"
"African","11","360,219","40,049","685"
"Caribbean","22","285,256","63,030","502"
"Any other Black background","27","33,438","9,175","61"
"Arab","12","64,164","7,603","107"
"Any other ethnic group","21","233,069","48,308","366"
"White","","","",""
"Asian","","","",""
"Black","","","",""
"Mixed","","","",""
"Other","","","",""
