Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type,Age group,Age group type,NS-SEC group,Income band,Region,Tenure,Value,Denominator,Numerator,Sample size
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White - British,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,39.9,18827771,7506473,33719
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White - Irish,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,40.8,202418,82525,344
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White - Gypsy or Irish Traveller,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,?,?,?,?
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,18.4,1052401,193299,1601
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Mixed/Multiple ethnic groups - White and Black Caribbean,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,15.4,98107,15083,167
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Mixed/Multiple ethnic groups - White and Black African,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,12.1,75210,9084,135
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Mixed/Multiple ethnic groups - White and Asian,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,41.5,64126,26641,103
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Mixed/Multiple ethnic groups - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,21.4,43212,9246,82
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Asian/Asian British - Indian,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,28.8,486845,140390,738
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Asian/Asian British - Pakistani,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,18.2,327347,59415,537
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Asian/Asian British - Bangladeshi,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,13,108241,14046,206
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Asian/Asian British - Chinese,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,17.1,132162,22654,199
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Asian/Asian British - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,16.4,213555,34988,319
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Black African/Caribbean/Black British - African,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,11.1,360219,40049,685
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Black African/Caribbean/Black British - Caribbean,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,22.1,285256,63030,502
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Black African/Caribbean/Black British - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,27.4,33438,9175,61
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Other ethnic group - Arab,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,11.9,64164,7603,107
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,Other ethnic group - Any other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,20.7,233069,48308,366
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,"Higher managerial, administrative and professional occupations",All,All,All,49.1,7583359,3724097,12378
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,Intermediate occupations,All,All,All,39.9,3908430,1561244,6823
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,Routine and manual occupations,All,All,All,29.2,6274838,1832193,12520
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,"Higher managerial, administrative and professional occupations",All,All,All,28.4,1376604,390377,2071
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,Intermediate occupations,All,All,All,18.2,734328,133695,1155
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,Routine and manual occupations,All,All,All,13.8,1283093,176488,2290
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,Up to £99,All,All,12.1,219652,26637,446
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,£100 to £199,All,All,26.9,1658642,446301,3417
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,£200 to £299,All,All,34,2330425,792798,4699
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,£300 to £399,All,All,37.6,2167669,814150,4122
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,£400 to £499,All,All,37.4,1769992,662469,3326
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,£500 to £599,All,All,38.3,1640197,628328,2940
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,£600 to £699,All,All,39.8,1540292,613156,2697
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,£700 to £799,All,All,40.9,1283624,525389,2172
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,£800 to £899,All,All,42.2,1076614,454357,1772
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,£900 to £999,All,All,42.8,854316,365716,1436
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,White British,White & other,England,England as a whole,All,All,All,£1000 and above,All,All,50.8,4284737,2176286,6688
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,Up to £99,All,All,9.5,63678,6057,116
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,£100 to £199,All,All,18.5,333662,61740,578
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,£200 to £299,All,All,21,401075,84410,739
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,£300 to £399,All,All,16.8,474903,79896,825
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,£400 to £499,All,All,16.4,426782,69911,722
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,£500 to £599,All,All,13.3,332926,44352,576
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,£600 to £699,All,All,18.7,296515,55519,473
% of households in England which are underoccupied,"2013-14, 2014-15 and 2015-16",Three years,All other ethnic groups,White & other,England,England as a whole,All,All,All,£700 to £799,All,All,21.6,261015,56320,416
