"Title","Under-occupied households by ethnicity and age"
"Location","England"
"Time period","2013/14 to 2015/16"
"Data source","English Housing Survey, 2013-14, 2014-15 and 2015-16 https://www.gov.uk/government/collections/english-housing-survey#2013-to-2014"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","Age","Value","Denominator","Numerator","Sample size"
"White British"," 16 - 24 yrs old","13"," 573,254 "," 73,236 "," 984 "
"White British"," 25 - 34 yrs old","19"," 2,396,932 "," 452,056 "," 4,082 "
"White British"," 35 - 44 yrs old","25"," 2,941,139 "," 748,349 "," 5,296 "
"White British"," 45 - 54 yrs old","35"," 3,766,221 "," 1,321,586 "," 6,601 "
"White British"," 55 - 64 yrs old","52"," 3,249,826 "," 1,685,733 "," 6,044 "
"White British"," 65 yrs old or over","55"," 5,900,399 "," 3,225,512 "," 10,712 "
"All other ethnic groups"," 16 - 24 yrs old","9"," 202,590 "," 18,703 "," 269 "
"All other ethnic groups"," 25 - 34 yrs old","10"," 901,571 "," 91,403 "," 1,393 "
"All other ethnic groups"," 35 - 44 yrs old","15"," 1,044,794 "," 154,343 "," 1,743 "
"All other ethnic groups"," 45 - 54 yrs old","21"," 761,583 "," 160,913 "," 1,291 "
"All other ethnic groups"," 55 - 64 yrs old","32"," 413,099 "," 133,835 "," 708 "
"All other ethnic groups"," 65 yrs old or over","47"," 462,057 "," 217,971 "," 762 "
